# r_nm potential_V
0.000000000000000000e+00 1.578409904564487820e-01
1.002004008016031955e+00 1.578097321223145277e-01
2.004008016032063910e+00 1.575265453523399806e-01
3.006012024048096087e+00 1.573319184596516651e-01
4.008016032064127820e+00 1.569700180264088085e-01
5.010020040080159553e+00 1.565565962224521879e-01
6.012024048096192175e+00 1.560231589365687066e-01
7.014028056112223908e+00 1.553547654941672962e-01
8.016032064128255641e+00 1.546637428009595971e-01
9.018036072144287374e+00 1.539145951648611954e-01
1.002004008016031911e+01 1.530318279855710506e-01
1.102204408817635084e+01 1.520867040557970506e-01
1.202404809619238435e+01 1.510446700189436442e-01
1.302605210420841608e+01 1.499795952995894022e-01
1.402805611222444782e+01 1.489209302881450703e-01
1.503006012024047955e+01 1.477694095744860325e-01
1.603206412825651128e+01 1.465962491071677309e-01
1.703406813627254479e+01 1.454020222278553653e-01
1.803607214428857475e+01 1.441083569557017330e-01
1.903807615230460826e+01 1.427875172270771376e-01
2.004008016032063821e+01 1.414355890641445512e-01
2.104208416833667172e+01 1.400687152975127470e-01
2.204408817635270168e+01 1.387035600220133669e-01
2.304609218436873519e+01 1.373560357810682253e-01
2.404809619238476870e+01 1.359887806696796209e-01
2.505010020040079866e+01 1.345991439812646018e-01
2.605210420841683217e+01 1.331331017300305675e-01
2.705410821643286212e+01 1.316312207194400008e-01
2.805611222444889563e+01 1.302105283821980708e-01
2.905811623246492559e+01 1.288075966211689183e-01
3.006012024048095910e+01 1.274630160595308648e-01
3.106212424849698905e+01 1.261267163286409199e-01
3.206412825651302256e+01 1.247481866029065689e-01
3.306613226452905252e+01 1.233620270790165702e-01
3.406813627254508958e+01 1.219925474131519777e-01
3.507014028056111954e+01 1.206296835445973825e-01
3.607214428857714950e+01 1.192917073221082952e-01
3.707414829659317945e+01 1.179808039670385417e-01
3.807615230460921651e+01 1.166775754162252821e-01
3.907815631262524647e+01 1.154292785676852701e-01
4.008016032064127643e+01 1.141809817191452442e-01
4.108216432865731349e+01 1.129642713709288759e-01
4.208416833667334345e+01 1.117659984018920805e-01
4.308617234468937340e+01 1.105721952817382142e-01
4.408817635270540336e+01 1.094272503411402309e-01
4.509018036072144042e+01 1.082823054005421920e-01
4.609218436873747038e+01 1.071640172586784817e-01
4.709418837675350034e+01 1.060637282673222437e-01
4.809619238476953740e+01 1.049722078532455138e-01
4.909819639278556735e+01 1.039515923062917097e-01
5.010020040080159731e+01 1.029309767593378777e-01
5.110220440881762727e+01 1.019494178166145543e-01
5.210420841683366433e+01 1.009914757739926588e-01
5.310621242484969429e+01 1.000352378058817909e-01
5.410821643286572424e+01 9.908979861036980308e-02
5.511022044088175420e+01 9.814435941485780135e-02
5.611222444889779126e+01 9.722310731297129083e-02
5.711422845691382122e+01 9.631491259972385643e-02
5.811623246492985118e+01 9.542009929804826096e-02
5.911823647294588824e+01 9.459423482412786244e-02
6.012024048096191819e+01 9.376837035020749167e-02
6.112224448897794815e+01 9.297751587729286005e-02
6.212424849699397811e+01 9.220346797432622810e-02
6.312625250501001517e+01 9.143748683061472815e-02
6.412825651302604513e+01 9.070653772644308999e-02
6.513026052104207508e+01 8.997558862227145182e-02
6.613226452905810504e+01 8.926670649119662626e-02
6.713426853707413500e+01 8.857490924728082804e-02
6.813627254509017916e+01 8.788311200336501594e-02
6.913827655310620912e+01 8.721530758646801884e-02
7.014028056112223908e+01 8.655001565892121718e-02
7.114228456913826903e+01 8.590731147378824484e-02
7.214428857715429899e+01 8.529715266987927813e-02
7.314629258517032895e+01 8.468699386597029755e-02
7.414829659318635890e+01 8.411883461116788363e-02
7.515030060120240307e+01 8.355418829128154201e-02
7.615230460921843303e+01 8.300008291803914751e-02
7.715430861723446299e+01 8.245961679452339099e-02
7.815631262525049294e+01 8.191915067100757897e-02
7.915831663326652290e+01 8.140225502739206753e-02
8.016032064128255286e+01 8.088662471171291501e-02
8.116232464929858281e+01 8.038130944715503323e-02
8.216432865731462698e+01 7.988799779688819658e-02
8.316633266533065694e+01 7.939468614662134605e-02
8.416833667334668689e+01 7.893668227049435715e-02
8.517034068136271685e+01 7.847957292691618014e-02
8.617234468937874681e+01 7.803441373165974360e-02
8.717434869739477676e+01 7.760177184232182335e-02
8.817635270541080672e+01 7.716915919223743536e-02
8.917835671342685089e+01 7.675563808197272131e-02
9.018036072144288084e+01 7.634211697170800726e-02
9.118236472945891080e+01 7.592250864948985045e-02
9.218436873747494076e+01 7.549584208349750802e-02
9.318637274549097071e+01 7.506917551750516560e-02
9.418837675350700067e+01 7.470863119121758100e-02
9.519038076152303063e+01 7.436839808315290345e-02
9.619238476953907480e+01 7.402836521772547529e-02
9.719438877755510475e+01 7.368903227098917708e-02
9.819639278557113471e+01 7.334969932425287886e-02
9.919839679358716467e+01 7.300858025395580431e-02
1.002004008016031946e+02 7.266681909411361329e-02
1.012024048096192246e+02 7.232889808884193639e-02
1.022044088176352545e+02 7.200257843603413699e-02
1.032064128256512845e+02 7.167625878322633759e-02
1.042084168336673287e+02 7.137309638539336698e-02
1.052104208416833586e+02 7.107717442525508800e-02
1.062124248496993886e+02 7.078398288179617304e-02
1.072144288577154185e+02 7.049799227882962149e-02
1.082164328657314485e+02 7.021200167586305607e-02
1.092184368737474784e+02 6.993437163863820694e-02
1.102204408817635084e+02 6.965899024327319722e-02
1.112224448897795526e+02 6.938701562253873911e-02
1.122244488977955825e+02 6.912294612747217626e-02
1.132264529058116125e+02 6.885887663240558565e-02
1.142284569138276424e+02 6.860274986758939375e-02
1.152304609218436724e+02 6.834843459273373667e-02
1.162324649298597024e+02 6.809953411591171402e-02
1.172344689378757323e+02 6.786212324438888055e-02
1.182364729458917765e+02 6.762471237286601933e-02
1.192384769539078064e+02 6.738718430336826382e-02
1.202404809619238364e+02 6.714959774670663240e-02
1.212424849699398663e+02 6.691259392786910731e-02
1.222444889779558963e+02 6.669051236153562823e-02
1.232464929859719263e+02 6.646843079520216302e-02
1.242484969939879562e+02 6.625552701148391954e-02
1.252505010020040004e+02 6.605018318931303589e-02
1.262525050100200303e+02 6.584530140340817683e-02
1.272545090180360603e+02 6.564747675353607703e-02
1.282565130260520903e+02 6.544965210366397723e-02
1.292585170340681202e+02 6.525430330951170754e-02
1.302605210420841502e+02 6.506078774071528958e-02
1.312625250501001801e+02 6.486773015272757903e-02
1.322645290581162101e+02 6.467943753510452254e-02
1.332665330661322400e+02 6.449114491748147993e-02
1.342685370741482700e+02 6.430357370672780404e-02
1.352705410821643000e+02 6.411648182202057955e-02
1.362725450901803583e+02 6.393114114674101900e-02
1.372745490981963883e+02 6.375942090570395349e-02
1.382765531062124182e+02 6.358770066466688797e-02
1.392785571142284482e+02 6.342078782039951845e-02
1.402805611222444782e+02 6.325673434206362244e-02
1.412825651302605081e+02 6.309295216996742284e-02
1.422845691382765381e+02 6.293083433795008952e-02
1.432865731462925680e+02 6.276871650593278396e-02
1.442885771543085980e+02 6.261140054606741112e-02
1.452905811623246279e+02 6.245757177343198852e-02
1.462925851703406579e+02 6.230374300079655203e-02
1.472945891783566879e+02 6.215542209881017716e-02
1.482965931863727178e+02 6.200782020501585667e-02
1.492985971943887478e+02 6.186152743783968760e-02
1.503006012024048061e+02 6.171755107103839288e-02
1.513026052104208361e+02 6.157357470423709123e-02
