# z_nm potential_V
-2.000000000000000000e+02 2.989238275339202550e-19
-1.991983967935871647e+02 1.175051239663739743e-05
-1.983967935871743578e+02 2.350102479327438829e-05
-1.975951903807615224e+02 3.525153718991178741e-05
-1.967935871743486871e+02 4.700204958654918315e-05
-1.959919839679358802e+02 5.875256198318617231e-05
-1.951903807615230448e+02 7.050307437982357482e-05
-1.943887775551102095e+02 8.225358677646097056e-05
-1.935871743486974026e+02 9.400409917309797327e-05
-1.927855711422845673e+02 1.057546115697353555e-04
-1.919839679358717319e+02 1.175051239663727647e-04
-1.911823647294589250e+02 1.292556363630097539e-04
-1.903807615230460897e+02 1.410061487596471496e-04
-1.895791583166332543e+02 1.533395091485132843e-04
-1.887775551102204474e+02 1.660106194006892317e-04
-1.879759519038076121e+02 1.786817296528656128e-04
-1.871743486973947768e+02 1.913528399050420210e-04
-1.863727454909819699e+02 2.040239501572179955e-04
-1.855711422845691345e+02 2.166950604093944037e-04
-1.847695390781562992e+02 2.293661706615708119e-04
-1.839679358717434923e+02 2.420372809137467593e-04
-1.831663326653306569e+02 2.547083911659231946e-04
-1.823647294589178500e+02 2.673795014180991420e-04
-1.815631262525050147e+02 2.800506116702755231e-04
-1.807615230460921794e+02 2.927217219224519584e-04
-1.799599198396793440e+02 3.058854395182018251e-04
-1.791583166332665371e+02 3.204068016108020103e-04
-1.783567134268537018e+02 3.349281637034025750e-04
-1.775551102204408949e+02 3.494495257960027060e-04
-1.767535070140280595e+02 3.639708878886032707e-04
-1.759519038076152242e+02 3.784922499812038896e-04
-1.751503006012023889e+02 3.930136120738045085e-04
-1.743486973947895819e+02 4.075349741664045311e-04
-1.735470941883767466e+02 4.220563362590051501e-04
-1.727454909819639397e+02 4.365776983516052269e-04
-1.719438877755511044e+02 4.510990604442058458e-04
-1.711422845691382690e+02 4.656204225368064105e-04
-1.703406813627254621e+02 4.801417846294064873e-04
-1.695390781563126268e+02 4.973260642798998455e-04
-1.687374749498997915e+02 5.148083390824657272e-04
-1.679358717434869845e+02 5.322906138850309584e-04
-1.671342685370741492e+02 5.497728886875968401e-04
-1.663326653306613139e+02 5.672551634901628302e-04
-1.655310621242484785e+02 5.847374382927286035e-04
-1.647294589178356716e+02 6.022197130952939431e-04
-1.639278557114228363e+02 6.197019878978598248e-04
-1.631262525050100294e+02 6.371842627004250560e-04
-1.623246492985971940e+02 6.546665375029909377e-04
-1.615230460921843587e+02 6.721488123055568194e-04
-1.607214428857715518e+02 6.896310871081221591e-04
-1.599198396793587165e+02 7.094567062478166495e-04
-1.591182364729458811e+02 7.313398260936829470e-04
-1.583166332665330742e+02 7.532229459395484855e-04
-1.575150300601202389e+02 7.751060657854145662e-04
-1.567134268537074036e+02 7.969891856312808637e-04
-1.559118236472945966e+02 8.188723054771464022e-04
-1.551102204408817613e+02 8.407554253230125913e-04
-1.543086172344689260e+02 8.626385451688787804e-04
-1.535070140280561191e+02 8.845216650147443190e-04
-1.527054108216432837e+02 9.064047848606105080e-04
-1.519038076152304484e+02 9.282879047064768055e-04
-1.511022044088176415e+02 9.501710245523423441e-04
-1.503006012024048061e+02 9.730555497418137169e-04
