# r_nm potential_V
0.000000000000000000e+00 1.955738246265224245e-01
1.002004008016031955e+00 1.956810695465528438e-01
2.004008016032063910e+00 1.953655885132021819e-01
3.006012024048096087e+00 1.951545503271783499e-01
4.008016032064127820e+00 1.949922743271782222e-01
5.010020040080159553e+00 1.948527730542689018e-01
6.012024048096192175e+00 1.939512773898941222e-01
7.014028056112223908e+00 1.939312316282681969e-01
8.016032064128255641e+00 1.934840738453901254e-01
9.018036072144287374e+00 1.931049980636677654e-01
1.002004008016031911e+01 1.924613036632111529e-01
1.102204408817635084e+01 1.918082872368561675e-01
1.202404809619238435e+01 1.911493027686928248e-01
1.302605210420841608e+01 1.905496312164795258e-01
1.402805611222444782e+01 1.899524016195082987e-01
1.503006012024047955e+01 1.893440837997024118e-01
1.603206412825651128e+01 1.887247296404882813e-01
1.703406813627254479e+01 1.880885654595419176e-01
1.803607214428857475e+01 1.874404021971307344e-01
1.903807615230460826e+01 1.867759523144570943e-01
2.004008016032063821e+01 1.860462353466738605e-01
2.104208416833667172e+01 1.853018110246643924e-01
2.204408817635270168e+01 1.845602585133656048e-01
2.304609218436873519e+01 1.838529989134024822e-01
2.404809619238476870e+01 1.830894113633839138e-01
2.505010020040079866e+01 1.821116932130882882e-01
2.605210420841683217e+01 1.816924524394886442e-01
2.705410821643286212e+01 1.810127460962742962e-01
2.805611222444889563e+01 1.802634710806201579e-01
2.905811623246492559e+01 1.795624219490838669e-01
3.006012024048095910e+01 1.789631090913665623e-01
3.106212424849698905e+01 1.781703912092268971e-01
3.206412825651302256e+01 1.777946432565713497e-01
3.306613226452905252e+01 1.770926088426347522e-01
3.406813627254508958e+01 1.762787874634065000e-01
3.507014028056111954e+01 1.758383433146995245e-01
3.607214428857714950e+01 1.752784153418397994e-01
3.707414829659317945e+01 1.748761350957025451e-01
3.807615230460921651e+01 1.742806104488228147e-01
3.907815631262524647e+01 1.735923062825240892e-01
4.008016032064127643e+01 1.730945776433467920e-01
4.108216432865731349e+01 1.726020733296007303e-01
4.208416833667334345e+01 1.721738040472357567e-01
4.308617234468937340e+01 1.717756100536930175e-01
4.408817635270540336e+01 1.713388801670739925e-01
4.509018036072144042e+01 1.709061531105796616e-01
4.609218436873747038e+01 1.704940308434470531e-01
4.709418837675350034e+01 1.700868635198874157e-01
4.809619238476953740e+01 1.696917950513704421e-01
4.909819639278556735e+01 1.693192370775257749e-01
5.010020040080159731e+01 1.689676930674177124e-01
5.110220440881762727e+01 1.686462340549770289e-01
5.210420841683366433e+01 1.683112546629293715e-01
5.310621242484969429e+01 1.680091050637880223e-01
5.410821643286572424e+01 1.677024200714692381e-01
5.511022044088175420e+01 1.673391354665438591e-01
5.611222444889779126e+01 1.670686643524452730e-01
5.711422845691382122e+01 1.668368099229262380e-01
5.811623246492985118e+01 1.665574747598408401e-01
5.911823647294588824e+01 1.662933675882374840e-01
6.012024048096191819e+01 1.660445308923795271e-01
6.112224448897794815e+01 1.658033802197158568e-01
6.212424849699397811e+01 1.655189406091169269e-01
6.312625250501001517e+01 1.652385364614406271e-01
6.412825651302604513e+01 1.650378504684048564e-01
6.513026052104207508e+01 1.648624249364653849e-01
6.613226452905810504e+01 1.646623769666891723e-01
6.713426853707413500e+01 1.644847066053256313e-01
6.813627254509017916e+01 1.642724977031159994e-01
6.913827655310620912e+01 1.640873093347715028e-01
7.014028056112223908e+01 1.639305932874949301e-01
7.114228456913826903e+01 1.637856736914427291e-01
7.214428857715429899e+01 1.636381205139205430e-01
7.314629258517032895e+01 1.634970436895117618e-01
7.414829659318635890e+01 1.633509430153900488e-01
7.515030060120240307e+01 1.631832444157133022e-01
7.615230460921843303e+01 1.630355506413018740e-01
7.715430861723446299e+01 1.629809361162827264e-01
7.815631262525049294e+01 1.628305626037863663e-01
7.915831663326652290e+01 1.626396105377805046e-01
8.016032064128255286e+01 1.624988898817482652e-01
8.116232464929858281e+01 1.623867379880931938e-01
8.216432865731462698e+01 1.622609161572623471e-01
8.316633266533065694e+01 1.621689129702673648e-01
8.416833667334668689e+01 1.621168388607051591e-01
8.517034068136271685e+01 1.617672180932889225e-01
8.617234468937874681e+01 1.617848221275961507e-01
8.717434869739477676e+01 1.618078443763961149e-01
8.817635270541080672e+01 1.616732819678755595e-01
8.917835671342685089e+01 1.614776151397386006e-01
9.018036072144288084e+01 1.613560666689662360e-01
9.118236472945891080e+01 1.613020011272517096e-01
9.218436873747494076e+01 1.612519361598618028e-01
9.318637274549097071e+01 1.611629434121068793e-01
9.418837675350700067e+01 1.609960977178897801e-01
9.519038076152303063e+01 1.609662698273995052e-01
9.619238476953907480e+01 1.608695236906436399e-01
9.719438877755510475e+01 1.607677435409987365e-01
9.819639278557113471e+01 1.608200965132403348e-01
9.919839679358716467e+01 1.608095400891921267e-01
1.002004008016031946e+02 1.606717500113765407e-01
1.012024048096192246e+02 1.605684341935267045e-01
1.022044088176352545e+02 1.604951525835467685e-01
1.032064128256512845e+02 1.604352778148184777e-01
1.042084168336673287e+02 1.603853563630694978e-01
1.052104208416833586e+02 1.602222675599871970e-01
1.062124248496993886e+02 1.601878590430144411e-01
1.072144288577154185e+02 1.602021923508302470e-01
1.082164328657314485e+02 1.601424680033293468e-01
1.092184368737474784e+02 1.600796871666272658e-01
1.102204408817635084e+02 1.600090205271908483e-01
1.112224448897795526e+02 1.599441033816271507e-01
1.122244488977955825e+02 1.598873647620520089e-01
1.132264529058116125e+02 1.598278117266954679e-01
1.142284569138276424e+02 1.597628429119776761e-01
1.152304609218436724e+02 1.596996710478273407e-01
1.162324649298597024e+02 1.596539522904233122e-01
1.172344689378757323e+02 1.595910831878407377e-01
1.182364729458917765e+02 1.595400457245087500e-01
1.192384769539078064e+02 1.594795048686336314e-01
