# z_nm potential_V
-2.000000000000000000e+02 3.823356747303516400e-19
-1.991983967935871647e+02 1.498336365564738766e-05
-1.983967935871743578e+02 2.996672731129428066e-05
-1.975951903807615224e+02 4.495009096694166324e-05
-1.967935871743486871e+02 5.993345462258904921e-05
-1.959919839679358802e+02 7.491681827823592696e-05
-1.951903807615230448e+02 8.990018193388332648e-05
-1.943887775551102095e+02 1.048835455895307260e-04
-1.935871743486974026e+02 1.198669092451775970e-04
-1.927855711422845673e+02 1.348502729008249829e-04
-1.919839679358717319e+02 1.498336365564723960e-04
-1.911823647294589250e+02 1.648170002121192670e-04
-1.903807615230460897e+02 1.798003638677666530e-04
-1.895791583166332543e+02 1.954019374919018122e-04
-1.887775551102204474e+02 2.114994340419975769e-04
-1.879759519038076121e+02 2.275969305920939379e-04
-1.871743486973947768e+02 2.436944271421903532e-04
-1.863727454909819699e+02 2.597919236922861721e-04
-1.855711422845691345e+02 2.758894202423825331e-04
-1.847695390781562992e+02 2.919869167924788941e-04
-1.839679358717434923e+02 3.080844133425747131e-04
-1.831663326653306569e+02 3.241819098926710199e-04
-1.823647294589178500e+02 3.402794064427667846e-04
-1.815631262525050147e+02 3.563769029928632540e-04
-1.807615230460921794e+02 3.724743995429595608e-04
-1.799599198396793440e+02 3.888189641356327433e-04
-1.791583166332665371e+02 4.071674484250140807e-04
-1.783567134268537018e+02 4.255159327143961771e-04
-1.775551102204408949e+02 4.438644170037775688e-04
-1.767535070140280595e+02 4.622129012931596652e-04
-1.759519038076152242e+02 4.805613855825417073e-04
-1.751503006012023889e+02 4.989098698719238037e-04
-1.743486973947895819e+02 5.172583541613051412e-04
-1.735470941883767466e+02 5.356068384506872376e-04
-1.727454909819639397e+02 5.539553227400685750e-04
-1.719438877755511044e+02 5.723038070294506714e-04
-1.711422845691382690e+02 5.906522913188326594e-04
-1.703406813627254621e+02 6.090007756082142136e-04
-1.695390781563126268e+02 6.296875439666946902e-04
-1.687374749498997915e+02 6.515541507592009568e-04
-1.679358717434869845e+02 6.734207575517066812e-04
-1.671342685370741492e+02 6.952873643442129478e-04
-1.663326653306613139e+02 7.171539711367193228e-04
-1.655310621242484785e+02 7.390205779292258062e-04
-1.647294589178356716e+02 7.608871847217314223e-04
-1.639278557114228363e+02 7.827537915142377973e-04
-1.631262525050100294e+02 8.046203983067433049e-04
-1.623246492985971940e+02 8.264870050992497883e-04
-1.615230460921843587e+02 8.483536118917560549e-04
-1.607214428857715518e+02 8.702202186842617794e-04
-1.599198396793587165e+02 8.932376478525383932e-04
-1.591182364729458811e+02 9.203467114009553432e-04
-1.583166332665330742e+02 9.474557749493716426e-04
-1.575150300601202389e+02 9.745648384977888094e-04
-1.567134268537074036e+02 1.001673902046205976e-03
-1.559118236472945966e+02 1.028782965594622276e-03
-1.551102204408817613e+02 1.055892029143039226e-03
-1.543086172344689260e+02 1.083001092691456392e-03
-1.535070140280561191e+02 1.110110156239872692e-03
-1.527054108216432837e+02 1.137219219788289642e-03
-1.519038076152304484e+02 1.164328283336707025e-03
-1.511022044088176415e+02 1.191437346885123108e-03
-1.503006012024048061e+02 1.218546410433540058e-03
-1.494989979959919992e+02 1.251386039049083142e-03
-1.486973947895791639e+02 1.285895113085469381e-03
-1.478957915831663286e+02 1.320404187121855403e-03
-1.470941883767534932e+02 1.354913261158241641e-03
-1.462925851703406863e+02 1.389422335194626795e-03
-1.454909819639278510e+02 1.423931409231013034e-03
-1.446893787575150441e+02 1.458440483267397971e-03
-1.438877755511022087e+02 1.492949557303783776e-03
-1.430861723446893734e+02 1.527458631340170014e-03
-1.422845691382765381e+02 1.561967705376556253e-03
-1.414829659318637312e+02 1.596476779412941190e-03
-1.406813627254508958e+02 1.630985853449327429e-03
-1.398797595190380889e+02 1.668803842605817754e-03
-1.390781563126252536e+02 1.713361872236251375e-03
-1.382765531062124182e+02 1.757919901866684996e-03
-1.374749498997995829e+02 1.802477931497118834e-03
-1.366733466933867760e+02 1.847035961127550720e-03
-1.358717434869739407e+02 1.891593990757984341e-03
-1.350701402805611337e+02 1.936152020388416661e-03
-1.342685370741482984e+02 1.980710050018850282e-03
-1.334669338677354631e+02 2.025268079649283470e-03
-1.326653306613226277e+02 2.069826109279717524e-03
-1.318637274549098208e+02 2.114384138910149410e-03
-1.310621242484969855e+02 2.158942168540583031e-03
-1.302605210420841786e+02 2.203500198171014918e-03
-1.294589178356713433e+02 2.259677733675494789e-03
-1.286573146292585079e+02 2.317377630691760341e-03
-1.278557114228456868e+02 2.375077527708025459e-03
-1.270541082164328657e+02 2.432777424724290576e-03
-1.262525050100200446e+02 2.490477321740555694e-03
-1.254509018036072092e+02 2.548177218756821245e-03
-1.246492985971943881e+02 2.605877115773086797e-03
-1.238476953907815670e+02 2.663577012789351481e-03
-1.230460921843687316e+02 2.721276909805617466e-03
-1.222444889779559105e+02 2.778976806821882584e-03
-1.214428857715430894e+02 2.836676703838147701e-03
-1.206412825651302541e+02 2.894376600854413686e-03
-1.198396793587174329e+02 2.959977201811310639e-03
-1.190380761523046118e+02 3.035672533919298640e-03
-1.182364729458917765e+02 3.111367866027287942e-03
-1.174348697394789554e+02 3.187063198135275510e-03
-1.166332665330661342e+02 3.262758530243263511e-03
-1.158316633266532989e+02 3.338453862351252813e-03
-1.150300601202404778e+02 3.414149194459240380e-03
-1.142284569138276566e+02 3.489844526567228815e-03
-1.134268537074148213e+02 3.565539858675217683e-03
-1.126252505010020002e+02 3.641235190783205684e-03
-1.118236472945891791e+02 3.716930522891193252e-03
-1.110220440881763437e+02 3.792625854999182120e-03
-1.102204408817635226e+02 3.868321187107170989e-03
-1.094188376753507015e+02 3.968689418594164610e-03
-1.086172344689378662e+02 4.069208597507668716e-03
-1.078156312625250450e+02 4.169727776421171088e-03
-1.070140280561122239e+02 4.270246955334672592e-03
-1.062124248496994028e+02 4.370766134248174964e-03
-1.054108216432865675e+02 4.471285313161679070e-03
-1.046092184368737463e+02 4.571804492075181442e-03
-1.038076152304609252e+02 4.672323670988683814e-03
-1.030060120240480899e+02 4.772842849902187053e-03
-1.022044088176352687e+02 4.873362028815688557e-03
-1.014028056112224476e+02 4.973881207729191796e-03
-1.006012024048096123e+02 5.074400386642695902e-03
-9.979959919839679117e+01 5.192832181142845172e-03
-9.899799599198397004e+01 5.324546083529274089e-03
-9.819639278557113471e+01 5.456259985915706476e-03
-9.739478957915831359e+01 5.587973888302134526e-03
-9.659318637274549246e+01 5.719687790688564311e-03
-9.579158316633265713e+01 5.851401693074995830e-03
-9.498997995991983601e+01 5.983115595461423880e-03
-9.418837675350701488e+01 6.114829497847852798e-03
-9.338677354709417955e+01 6.246543400234284317e-03
-9.258517034068135843e+01 6.378257302620713234e-03
-9.178356713426853730e+01 6.509971205007141284e-03
-9.098196392785570197e+01 6.641685107393572804e-03
-9.018036072144288084e+01 6.811848385401003333e-03
-8.937875751503005972e+01 6.982525036660440151e-03
-8.857715430861722439e+01 7.153201687919878704e-03
-8.777555110220440326e+01 7.323878339179315522e-03
-8.697394789579158214e+01 7.494554990438752340e-03
-8.617234468937876102e+01 7.665231641698189158e-03
-8.537074148296592568e+01 7.835908292957627710e-03
-8.456913827655310456e+01 8.006584944217064528e-03
-8.376753507014028344e+01 8.177261595476499612e-03
-8.296593186372744810e+01 8.347938246735938164e-03
-8.216432865731462698e+01 8.542990801059127323e-03
-8.136272545090180586e+01 8.759707290566180748e-03
-8.056112224448897052e+01 8.976423780073237643e-03
-7.975951903807614940e+01 9.193140269580291069e-03
-7.895791583166332828e+01 9.409856759087342759e-03
-7.815631262525049294e+01 9.626573248594399654e-03
-7.735470941883767182e+01 9.843289738101453079e-03
-7.655310621242485070e+01 1.006000622760850650e-02
-7.575150300601201536e+01 1.027672271711556166e-02
-7.494989979959919424e+01 1.049839968808430335e-02
-7.414829659318637312e+01 1.076909161944194712e-02
-7.334669338677353778e+01 1.103978355079959263e-02
-7.254509018036071666e+01 1.131047548215723640e-02
-7.174348697394788132e+01 1.158116741351488191e-02
-7.094188376753507441e+01 1.185185934487252048e-02
-7.014028056112223908e+01 1.212255127623016772e-02
-6.933867735470940374e+01 1.239324320758781323e-02
-6.853707414829659683e+01 1.266393513894545179e-02
-6.773547094188376150e+01 1.297032527598462708e-02
-6.693386773547092616e+01 1.330313134402497793e-02
-6.613226452905811925e+01 1.363593741206531665e-02
-6.533066132264528392e+01 1.396874348010566924e-02
-6.452905811623244858e+01 1.430154954814601836e-02
-6.372745490981964167e+01 1.463435561618635534e-02
-6.292585170340680634e+01 1.496716168422670620e-02
-6.212424849699397100e+01 1.529996775226705706e-02
-6.132264529058116409e+01 1.569650623658859143e-02
-6.052104208416832876e+01 1.610107109465476471e-02
-5.971943887775549342e+01 1.650563595272093453e-02
-5.891783567134268651e+01 1.691020081078709048e-02
-5.811623246492985118e+01 1.731476566885326029e-02
-5.731462925851701584e+01 1.771933052691943011e-02
-5.651302605210420893e+01 1.812389538498558605e-02
-5.571142284569137360e+01 1.860436128221853308e-02
-5.490981963927856668e+01 1.908872230363043571e-02
-5.410821643286573135e+01 1.957308332504235915e-02
-5.330661322645289601e+01 2.005744434645428259e-02
-5.250501002004008910e+01 2.054180536786618522e-02
-5.170340681362725377e+01 2.102616638927810519e-02
