# r_nm potential_V
0.000000000000000000e+00 1.938384653832424809e-01
1.002004008016031955e+00 1.939629348463111080e-01
2.004008016032063910e+00 1.936539352724127583e-01
3.006012024048096087e+00 1.934630501489851828e-01
4.008016032064127820e+00 1.933311526011967929e-01
5.010020040080159553e+00 1.932348378382067189e-01
6.012024048096192175e+00 1.923544374273766233e-01
7.014028056112223908e+00 1.923954574536966278e-01
8.016032064128255641e+00 1.919921348320408339e-01
9.018036072144287374e+00 1.916718232995312521e-01
1.002004008016031911e+01 1.910850473573139086e-01
1.102204408817635084e+01 1.904934110492317589e-01
1.202404809619238435e+01 1.898980360285857094e-01
1.302605210420841608e+01 1.893670457805642360e-01
1.402805611222444782e+01 1.888410636453363156e-01
1.503006012024047955e+01 1.883054279581565515e-01
1.603206412825651128e+01 1.877592715535261469e-01
1.703406813627254479e+01 1.871966404804347450e-01
1.803607214428857475e+01 1.866212423529025888e-01
1.903807615230460826e+01 1.860279153199689839e-01
2.004008016032063821e+01 1.853678162110302952e-01
2.104208416833667172e+01 1.846909565099349171e-01
2.204408817635270168e+01 1.840153480851361989e-01
2.304609218436873519e+01 1.833731663164258896e-01
2.404809619238476870e+01 1.826722629344759152e-01
2.505010020040079866e+01 1.817484063217299495e-01
2.605210420841683217e+01 1.813945688163514647e-01
2.705410821643286212e+01 1.807703278087686716e-01
2.805611222444889563e+01 1.800731398896403268e-01
2.905811623246492559e+01 1.794216192318743297e-01
3.006012024048095910e+01 1.788730882853875881e-01
3.106212424849698905e+01 1.781230765750146661e-01
3.206412825651302256e+01 1.777978140427075304e-01
3.306613226452905252e+01 1.771352065382819363e-01
3.406813627254508958e+01 1.763569750113649914e-01
3.507014028056111954e+01 1.759588384549985729e-01
3.607214428857714950e+01 1.754354728259929219e-01
3.707414829659317945e+01 1.750709964474282399e-01
3.807615230460921651e+01 1.745065159122241860e-01
3.907815631262524647e+01 1.738454899460641356e-01
4.008016032064127643e+01 1.733778768312131124e-01
4.108216432865731349e+01 1.729135547396739858e-01
4.208416833667334345e+01 1.725126258791341849e-01
4.308617234468937340e+01 1.721404263146122104e-01
