# z_nm potential_V
-2.000000000000000000e+02 4.048069348141064178e-19
-1.991983967935871647e+02 1.585559556213515434e-05
-1.983967935871743578e+02 3.171119112426978013e-05
-1.975951903807615224e+02 4.756678668640492770e-05
-1.967935871743486871e+02 6.342238224854007526e-05
-1.959919839679358802e+02 7.927797781067469427e-05
-1.951903807615230448e+02 9.513357337280985539e-05
-1.943887775551102095e+02 1.109891689349450301e-04
-1.935871743486974026e+02 1.268447644970796355e-04
-1.927855711422845673e+02 1.427003600592147831e-04
-1.919839679358717319e+02 1.585559556213499578e-04
-1.911823647294589250e+02 1.744115511834845632e-04
-1.903807615230460897e+02 1.902671467456197108e-04
-1.895791583166332543e+02 2.067353454648563119e-04
-1.887775551102204474e+02 2.236949693723110490e-04
-1.879759519038076121e+02 2.406545932797664366e-04
-1.871743486973947768e+02 2.576142171872218513e-04
-1.863727454909819699e+02 2.745738410946766154e-04
-1.855711422845691345e+02 2.915334650021320301e-04
-1.847695390781562992e+02 3.084930889095874448e-04
-1.839679358717434923e+02 3.254527128170422090e-04
-1.831663326653306569e+02 3.424123367244975152e-04
-1.823647294589178500e+02 3.593719606319523878e-04
-1.815631262525050147e+02 3.763315845394077483e-04
-1.807615230460921794e+02 3.932912084468631088e-04
-1.799599198396793440e+02 4.105014098380387966e-04
-1.791583166332665371e+02 4.297439953042315650e-04
-1.783567134268537018e+02 4.489865807704250924e-04
-1.775551102204408949e+02 4.682291662366178065e-04
-1.767535070140280595e+02 4.874717517028113881e-04
-1.759519038076152242e+02 5.067143371690048612e-04
-1.751503006012023889e+02 5.259569226351983344e-04
-1.743486973947895819e+02 5.451995081013911570e-04
-1.735470941883767466e+02 5.644420935675846301e-04
-1.727454909819639397e+02 5.836846790337773443e-04
-1.719438877755511044e+02 6.029272644999708174e-04
-1.711422845691382690e+02 6.221698499661641821e-04
-1.703406813627254621e+02 6.414124354323570048e-04
-1.695390781563126268e+02 6.630426861897928924e-04
-1.687374749498997915e+02 6.858776918850166115e-04
-1.679358717434869845e+02 7.087126975802397885e-04
-1.671342685370741492e+02 7.315477032754633992e-04
-1.663326653306613139e+02 7.543827089706873351e-04
-1.655310621242484785e+02 7.772177146659110542e-04
-1.647294589178356716e+02 8.000527203611340144e-04
-1.639278557114228363e+02 8.228877260563578419e-04
-1.631262525050100294e+02 8.457227317515806937e-04
-1.623246492985971940e+02 8.685577374468046296e-04
-1.615230460921843587e+02 8.913927431420283487e-04
-1.607214428857715518e+02 9.142277488372514173e-04
-1.599198396793587165e+02 9.382406843331234959e-04
-1.591182364729458811e+02 9.664416319594505483e-04
-1.583166332665330742e+02 9.946425795857769502e-04
-1.575150300601202389e+02 1.022843527212104111e-03
-1.567134268537074036e+02 1.051044474838431489e-03
-1.559118236472945966e+02 1.079245422464757565e-03
-1.551102204408817613e+02 1.107446370091084726e-03
-1.543086172344689260e+02 1.135647317717412320e-03
-1.535070140280561191e+02 1.163848265343738397e-03
-1.527054108216432837e+02 1.192049212970065558e-03
-1.519038076152304484e+02 1.220250160596392935e-03
-1.511022044088176415e+02 1.248451108222719229e-03
-1.503006012024048061e+02 1.276652055849046173e-03
-1.494989979959919992e+02 1.310721149873930258e-03
-1.486973947895791639e+02 1.346499769926205172e-03
-1.478957915831663286e+02 1.382278389978479653e-03
-1.470941883767534932e+02 1.418057010030754784e-03
-1.462925851703406863e+02 1.453835630083028180e-03
-1.454909819639278510e+02 1.489614250135302877e-03
-1.446893787575150441e+02 1.525392870187576490e-03
-1.438877755511022087e+02 1.561171490239851405e-03
-1.430861723446893734e+02 1.596950110292125885e-03
-1.422845691382765381e+02 1.632728730344400799e-03
-1.414829659318637312e+02 1.668507350396674412e-03
-1.406813627254508958e+02 1.704285970448949110e-03
-1.398797595190380889e+02 1.743451007752527598e-03
-1.390781563126252536e+02 1.789513952227182693e-03
-1.382765531062124182e+02 1.835576896701837137e-03
-1.374749498997995829e+02 1.881639841176492014e-03
-1.366733466933867760e+02 1.927702785651145157e-03
-1.358717434869739407e+02 1.973765730125799818e-03
-1.350701402805611337e+02 2.019828674600453178e-03
-1.342685370741482984e+02 2.065891619075107839e-03
-1.334669338677354631e+02 2.111954563549762499e-03
-1.326653306613226277e+02 2.158017508024417160e-03
-1.318637274549098208e+02 2.204080452499070520e-03
-1.310621242484969855e+02 2.250143396973725181e-03
-1.302605210420841786e+02 2.296206341448378541e-03
-1.294589178356713433e+02 2.354148439613947593e-03
-1.286573146292585079e+02 2.413646917763973953e-03
-1.278557114228456868e+02 2.473145395913999445e-03
-1.270541082164328657e+02 2.532643874064024938e-03
-1.262525050100200446e+02 2.592142352214049997e-03
-1.254509018036072092e+02 2.651640830364076357e-03
-1.246492985971943881e+02 2.711139308514101849e-03
-1.238476953907815670e+02 2.770637786664127342e-03
-1.230460921843687316e+02 2.830136264814152834e-03
-1.222444889779559105e+02 2.889634742964178760e-03
-1.214428857715430894e+02 2.949133221114203819e-03
-1.206412825651302541e+02 3.008631699264230179e-03
-1.198396793587174329e+02 3.076195755784765385e-03
-1.190380761523046118e+02 3.154065203551467949e-03
-1.182364729458917765e+02 3.231934651318171380e-03
-1.174348697394789554e+02 3.309804099084874378e-03
-1.166332665330661342e+02 3.387673546851576508e-03
-1.158316633266532989e+02 3.465542994618280373e-03
-1.150300601202404778e+02 3.543412442384982503e-03
-1.142284569138276566e+02 3.621281890151685067e-03
-1.134268537074148213e+02 3.699151337918388932e-03
-1.126252505010020002e+02 3.777020785685091062e-03
-1.118236472945891791e+02 3.854890233451793626e-03
-1.110220440881763437e+02 3.932759681218497491e-03
-1.102204408817635226e+02 4.010629128985200055e-03
-1.094188376753507015e+02 4.113644211340683303e-03
-1.086172344689378662e+02 4.216813133290404567e-03
-1.078156312625250450e+02 4.319982055240124096e-03
-1.070140280561122239e+02 4.423150977189843625e-03
-1.062124248496994028e+02 4.526319899139563153e-03
-1.054108216432865675e+02 4.629488821089284417e-03
-1.046092184368737463e+02 4.732657743039003946e-03
-1.038076152304609252e+02 4.835826664988723475e-03
-1.030060120240480899e+02 4.938995586938443871e-03
-1.022044088176352687e+02 5.042164508888162533e-03
-1.014028056112224476e+02 5.145333430837882929e-03
-1.006012024048096123e+02 5.248502352787604193e-03
-9.979959919839679117e+01 5.369895288296899771e-03
-9.899799599198397004e+01 5.504801231610579812e-03
-9.819639278557113471e+01 5.639707174924263322e-03
-9.739478957915831359e+01 5.774613118237943363e-03
-9.659318637274549246e+01 5.909519061551623403e-03
-9.579158316633265713e+01 6.044425004865305179e-03
-9.498997995991983601e+01 6.179330948178985219e-03
-9.418837675350701488e+01 6.314236891492664393e-03
-9.338677354709417955e+01 6.449142834806347035e-03
-9.258517034068135843e+01 6.584048778120027944e-03
-9.178356713426853730e+01 6.718954721433707117e-03
-9.098196392785570197e+01 6.853860664747388892e-03
-9.018036072144288084e+01 7.027813750784032976e-03
-8.937875751503005972e+01 7.202288191415322227e-03
-8.857715430861722439e+01 7.376762632046614948e-03
-8.777555110220440326e+01 7.551237072677903332e-03
-8.697394789579158214e+01 7.725711513309192584e-03
-8.617234468937876102e+01 7.900185953940482703e-03
-8.537074148296592568e+01 8.074660394571771954e-03
-8.456913827655310456e+01 8.249134835203061206e-03
-8.376753507014028344e+01 8.423609275834350457e-03
-8.296593186372744810e+01 8.598083716465643178e-03
-8.216432865731462698e+01 8.797268469754036466e-03
-8.136272545090180586e+01 9.018414362712884672e-03
-8.056112224448897052e+01 9.239560255671738082e-03
-7.975951903807614940e+01 9.460706148630588022e-03
-7.895791583166332828e+01 9.681852041589437963e-03
-7.815631262525049294e+01 9.902997934548289638e-03
-7.735470941883767182e+01 1.012414382750713784e-02
-7.655310621242485070e+01 1.034528972046598778e-02
-7.575150300601201536e+01 1.056643561342484119e-02
-7.494989979959919424e+01 1.079260155770240398e-02
-7.414829659318637312e+01 1.106837107744687403e-02
-7.334669338677353778e+01 1.134414059719134754e-02
-7.254509018036071666e+01 1.161991011693581759e-02
-7.174348697394788132e+01 1.189567963668029110e-02
-7.094188376753507441e+01 1.217144915642475594e-02
-7.014028056112223908e+01 1.244721867616922946e-02
-6.933867735470940374e+01 1.272298819591370297e-02
-6.853707414829659683e+01 1.299875771565816782e-02
-6.773547094188376150e+01 1.331058994097493800e-02
-6.693386773547092616e+01 1.364910781964392625e-02
-6.613226452905811925e+01 1.398762569831290582e-02
-6.533066132264528392e+01 1.432614357698189581e-02
-6.452905811623244858e+01 1.466466145565088405e-02
-6.372745490981964167e+01 1.500317933431985842e-02
-6.292585170340680634e+01 1.534169721298884841e-02
-6.212424849699397100e+01 1.568021509165783839e-02
-6.132264529058116409e+01 1.608300490033990129e-02
-6.052104208416832876e+01 1.649388902839152987e-02
-5.971943887775549342e+01 1.690477315644315498e-02
-5.891783567134268651e+01 1.731565728449476621e-02
-5.811623246492985118e+01 1.772654141254639132e-02
-5.731462925851701584e+01 1.813742554059802337e-02
-5.651302605210420893e+01 1.854830966864963460e-02
-5.571142284569137360e+01 1.903560246023294072e-02
-5.490981963927856668e+01 1.952681642649410632e-02
-5.410821643286573135e+01 2.001803039275529272e-02
-5.330661322645289601e+01 2.050924435901647566e-02
-5.250501002004008910e+01 2.100045832527764125e-02
-5.170340681362725377e+01 2.149167229153882766e-02
-5.090180360721441843e+01 2.204709372672628703e-02
-5.010020040080161152e+01 2.263126396767092124e-02
-4.929859719438877619e+01 2.321543420861557627e-02
-4.849699398797594085e+01 2.379960444956023130e-02
-4.769539078156313394e+01 2.438377469050486551e-02
-4.689378757515029861e+01 2.497209359380362856e-02
-4.609218436873746327e+01 2.565794298604316334e-02
-4.529058116232465636e+01 2.634379237828268078e-02
-4.448897795591182103e+01 2.702964177052222250e-02
-4.368737474949898569e+01 2.771549116276176422e-02
-4.288577154308617878e+01 2.840134055500127472e-02
-4.208416833667334345e+01 2.919612448717285105e-02
-4.128256513026050811e+01 2.999763204421333762e-02
-4.048096192384770120e+01 3.079913960125379990e-02
-3.967935871743486587e+01 3.160064715829428300e-02
-3.887775551102203053e+01 3.244488610530687350e-02
-3.807615230460922362e+01 3.337200442079613777e-02
-3.727454909819638829e+01 3.429912273628543673e-02
-3.647294589178355295e+01 3.522624105177472181e-02
-3.567134268537074604e+01 3.617910198493442392e-02
-3.486973947895791071e+01 3.724367886837544328e-02
-3.406813627254507537e+01 3.830825575181645570e-02
-3.326653306613226846e+01 3.937283263525743343e-02
-3.246492985971943313e+01 4.050447603252883139e-02
-3.166332665330659779e+01 4.172169830964160553e-02
-3.086172344689379088e+01 4.293892058675433804e-02
-3.006012024048095554e+01 4.416567229608570760e-02
-2.925851703406812021e+01 4.555022210411492634e-02
-2.845691382765531330e+01 4.693477191214408262e-02
-2.765531062124247796e+01 4.832014335738996774e-02
-2.685370741482964263e+01 4.989145936253934488e-02
-2.605210420841683572e+01 5.146277536768865957e-02
-2.525050100200400038e+01 5.308358532977507094e-02
-2.444889779559116505e+01 5.485324356476095620e-02
-2.364729458917835814e+01 5.662290179974676513e-02
-2.284569138276552280e+01 5.855945573306818586e-02
-2.204408817635268747e+01 6.054775381663990430e-02
-2.124248496993988056e+01 6.266003101480549509e-02
-2.044088176352704522e+01 6.488693717126131633e-02
-1.963927855711420989e+01 6.723958543835344137e-02
-1.883767535070140298e+01 6.972068858640885491e-02
-1.803607214428856764e+01 7.239098877479710481e-02
-1.723446893787573231e+01 7.516107154532718215e-02
-1.643286573146292540e+01 7.822704787987538877e-02
-1.563126252505009006e+01 8.146400575687151591e-02
