# r_nm potential_V
0.000000000000000000e+00 1.340139193387716587e-01
2.512562814070351980e+00 1.340400277172018595e-01
5.025125628140703959e+00 1.344131364454174138e-01
7.537688442211056383e+00 1.351071179241259967e-01
1.005025125628140792e+01 1.359855166534612858e-01
1.256281407035175945e+01 1.370560266289781171e-01
1.507537688442211277e+01 1.382856044866060674e-01
1.758793969849246253e+01 1.395054955631803983e-01
2.010050251256281584e+01 1.407909660739364854e-01
2.261306532663316915e+01 1.420539299885307805e-01
2.512562814070351891e+01 1.432969404155735316e-01
2.763819095477387222e+01 1.444387399308633968e-01
3.015075376884422553e+01 1.455574717947094865e-01
3.266331658291457529e+01 1.465272084234915118e-01
3.517587939698492505e+01 1.474639027354008036e-01
3.768844221105528192e+01 1.482745770268583396e-01
4.020100502512563168e+01 1.489925467969380191e-01
4.271356783919598143e+01 1.497007139182981728e-01
4.522613065326633830e+01 1.502537753946546761e-01
4.773869346733668806e+01 1.508501942157238207e-01
5.025125628140703782e+01 1.513404235353116578e-01
5.276381909547739468e+01 1.517837843436206369e-01
5.527638190954774444e+01 1.521736854383376747e-01
5.778894472361809420e+01 1.525133891807698427e-01
6.030150753768845107e+01 1.528851287996279840e-01
6.281407035175880083e+01 1.531560245724271907e-01
6.532663316582915058e+01 1.534410505901568633e-01
6.783919597989950034e+01 1.536471345011256318e-01
7.035175879396985010e+01 1.538499337159125457e-01
7.286432160804021407e+01 1.540119914290222214e-01
7.537688442211056383e+01 1.542259118357776349e-01
7.788944723618091359e+01 1.543597355599506948e-01
8.040201005025126335e+01 1.545310653652676725e-01
8.291457286432161311e+01 1.547248907958549968e-01
8.542713567839196287e+01 1.548016086158331417e-01
8.793969849246231263e+01 1.549310909761325572e-01
9.045226130653267660e+01 1.550445409167670596e-01
9.296482412060302636e+01 1.551436419815147294e-01
9.547738693467337612e+01 1.551973330254172168e-01
9.798994974874372588e+01 1.553280967634910192e-01
1.005025125628140756e+02 1.554181790191185852e-01
1.030150753768844254e+02 1.554156662312366211e-01
1.055276381909547894e+02 1.554694536104918312e-01
1.080402010050251391e+02 1.556408937572557882e-01
1.105527638190954889e+02 1.556800797042099949e-01
1.130653266331658386e+02 1.557320734963318631e-01
1.155778894472361884e+02 1.557174012844375066e-01
1.180904522613065382e+02 1.558395966433713531e-01
1.206030150753769021e+02 1.558827749839811205e-01
1.231155778894472519e+02 1.559206811616177524e-01
1.256281407035176017e+02 1.559676031375761274e-01
1.281407035175879514e+02 1.560358999349185649e-01
1.306532663316583012e+02 1.560747685758295533e-01
1.331658291457286509e+02 1.560720995093042851e-01
1.356783919597990007e+02 1.561272682923883492e-01
1.381909547738693504e+02 1.561591033753553792e-01
1.407035175879397002e+02 1.561929281297312899e-01
1.432160804020100500e+02 1.561651457042307900e-01
1.457286432160804281e+02 1.562526479813707014e-01
1.482412060301507779e+02 1.562694850207352049e-01
1.507537688442211277e+02 1.563138020439047149e-01
1.532663316582914774e+02 1.563440289864507782e-01
1.557788944723618272e+02 1.563702132664852862e-01
1.582914572864321769e+02 1.563551912925232601e-01
1.608040201005025267e+02 1.563502736130779891e-01
1.633165829145728765e+02 1.564513835540919939e-01
1.658291457286432262e+02 1.564626854990626426e-01
1.683417085427135760e+02 1.564861012581117428e-01
1.708542713567839257e+02 1.565046679766099458e-01
1.733668341708542755e+02 1.565184113516872311e-01
1.758793969849246253e+02 1.565491212489500961e-01
1.783919597989950034e+02 1.565508073941312417e-01
1.809045226130653532e+02 1.565747382959955525e-01
1.834170854271357030e+02 1.565786718887916262e-01
1.859296482412060527e+02 1.565738410147131110e-01
1.884422110552764025e+02 1.566325238354702165e-01
1.909547738693467522e+02 1.566348109547051892e-01
1.934673366834171020e+02 1.566450514804368088e-01
1.959798994974874518e+02 1.566326615694957070e-01
1.984924623115578015e+02 1.567006440944359313e-01
2.010050251256281513e+02 1.566962168428333857e-01
2.035175879396985010e+02 1.567243314816204880e-01
2.060301507537688508e+02 1.567046546303617338e-01
2.085427135678392006e+02 1.567148767552855870e-01
2.110552763819095787e+02 1.567319025675382727e-01
2.135678391959799285e+02 1.567397629739682441e-01
2.160804020100502782e+02 1.567418248990246066e-01
2.185929648241206280e+02 1.567684488495793560e-01
2.211055276381909778e+02 1.567683393583683416e-01
2.236180904522613275e+02 1.568300062685317742e-01
2.261306532663316773e+02 1.568027653923606546e-01
2.286432160804020270e+02 1.568159772357873294e-01
2.311557788944723768e+02 1.568375635734162998e-01
2.336683417085427266e+02 1.568500477453796671e-01
2.361809045226130763e+02 1.568412141269194815e-01
2.386934673366834261e+02 1.568627602197606163e-01
2.412060301507538043e+02 1.568062816613704502e-01
2.437185929648241540e+02 1.568762596998437009e-01
2.462311557788945038e+02 1.569289707733727002e-01
2.487437185929648535e+02 1.568531942271136626e-01
2.512562814070352033e+02 1.568873927738830831e-01
2.537688442211055531e+02 1.569064765455523425e-01
2.562814070351759028e+02 1.568944678327609532e-01
2.587939698492462526e+02 1.569300099456502062e-01
2.613065326633166023e+02 1.569261460715080658e-01
2.638190954773869521e+02 1.568955584498137878e-01
2.663316582914573019e+02 1.569210036370576600e-01
2.688442211055276516e+02 1.569283669298731920e-01
2.713567839195980014e+02 1.569491323947866668e-01
2.738693467336683511e+02 1.569554370277719824e-01
2.763819095477387009e+02 1.569740321805228600e-01
2.788944723618090507e+02 1.569543203354902827e-01
2.814070351758794004e+02 1.569689269997945891e-01
2.839195979899497502e+02 1.569715379995025584e-01
2.864321608040200999e+02 1.569527138114583664e-01
2.889447236180904497e+02 1.569781559162017615e-01
2.914572864321608563e+02 1.570296535713518182e-01
2.939698492462312061e+02 1.569451869176026471e-01
2.964824120603015558e+02 1.569965752005343940e-01
2.989949748743719056e+02 1.569730957104475966e-01
3.015075376884422553e+02 1.570150000836401105e-01
3.040201005025126051e+02 1.569285648145151146e-01
3.065326633165829548e+02 1.570395079687425255e-01
3.090452261306533046e+02 1.569816844863550498e-01
3.115577889447236544e+02 1.570201295217926174e-01
3.140703517587940041e+02 1.570013819354445506e-01
3.165829145728643539e+02 1.570733127540833163e-01
3.190954773869347036e+02 1.570262360105111332e-01
3.216080402010050534e+02 1.569913948692125694e-01
3.241206030150754032e+02 1.570147072191421800e-01
3.266331658291457529e+02 1.570347121589800166e-01
3.291457286432161027e+02 1.570569140657946672e-01
3.316582914572864524e+02 1.570225664431465495e-01
3.341708542713568022e+02 1.570181436082092319e-01
3.366834170854271520e+02 1.570371879032819440e-01
3.391959798994975017e+02 1.570160784865745063e-01
3.417085427135678515e+02 1.570165240596479439e-01
3.442211055276382012e+02 1.569958190497619532e-01
3.467336683417085510e+02 1.571000188563372590e-01
3.492462311557789008e+02 1.571101641465881549e-01
3.517587939698492505e+02 1.570240927583529122e-01
3.542713567839196571e+02 1.570530417416948210e-01
3.567839195979900069e+02 1.570735420605976485e-01
3.592964824120603566e+02 1.570813312862482380e-01
3.618090452261307064e+02 1.570601464092510891e-01
3.643216080402010562e+02 1.570969741150782251e-01
3.668341708542714059e+02 1.570829878860253992e-01
3.693467336683417557e+02 1.570893823269738088e-01
3.718592964824121054e+02 1.570611656632556752e-01
3.743718592964824552e+02 1.570771488608243560e-01
3.768844221105528050e+02 1.571011319290520625e-01
3.793969849246231547e+02 1.570771358809943119e-01
3.819095477386935045e+02 1.570566624694745561e-01
3.844221105527638542e+02 1.571030436876370839e-01
3.869346733668342040e+02 1.570732558225879649e-01
3.894472361809045537e+02 1.571166857885856194e-01
3.919597989949749035e+02 1.570608880993459577e-01
3.944723618090452533e+02 1.570851025034178394e-01
3.969849246231156030e+02 1.570804193860644293e-01
3.994974874371859528e+02 1.570922192022037589e-01
4.020100502512563025e+02 1.570792970268959643e-01
4.045226130653266523e+02 1.571433616811152012e-01
4.070351758793970021e+02 1.570957360132008152e-01
4.095477386934673518e+02 1.571397745716189565e-01
4.120603015075377016e+02 1.571030760708085339e-01
4.145728643216080513e+02 1.570768706191587316e-01
4.170854271356784011e+02 1.571020860298825428e-01
4.195979899497488077e+02 1.570566094310468230e-01
4.221105527638191575e+02 1.571362464384948865e-01
4.246231155778895072e+02 1.570990256345704827e-01
4.271356783919598570e+02 1.571178297101713250e-01
4.296482412060302067e+02 1.571021913129878600e-01
4.321608040201005565e+02 1.571168975147163305e-01
4.346733668341709063e+02 1.570806910662586597e-01
4.371859296482412560e+02 1.571054903768242528e-01
4.396984924623116058e+02 1.571153045150534000e-01
4.422110552763819555e+02 1.571006344418682532e-01
4.447236180904523053e+02 1.571492376082729570e-01
4.472361809045226551e+02 1.570798460904150873e-01
4.497487437185930048e+02 1.571095173179104243e-01
4.522613065326633546e+02 1.571480457561079125e-01
4.547738693467337043e+02 1.570841900680668979e-01
4.572864321608040541e+02 1.570908884159234464e-01
4.597989949748744039e+02 1.571107853771610274e-01
4.623115577889447536e+02 1.570880040345135065e-01
4.648241206030151034e+02 1.570972689945820122e-01
4.673366834170854531e+02 1.570591558856666015e-01
4.698492462311558029e+02 1.571237511189364222e-01
