# z_nm potential_V
-2.000000000000000000e+02 0.000000000000000000e+00
-1.979899497487437259e+02 3.860912454162505544e-05
-1.959798994974874518e+02 7.721824908325011089e-05
-1.939698492462311492e+02 1.160914177619720532e-04
-1.919597989949748751e+02 1.553904780656229108e-04
-1.899497487437186010e+02 1.946895383692737549e-04
-1.879396984924622984e+02 2.351262869686477361e-04
-1.859296482412060243e+02 2.760192728584361099e-04
-1.839195979899497502e+02 3.170205982894550305e-04
-1.819095477386934760e+02 3.604556695957289382e-04
-1.798994974874372019e+02 4.038907409020028459e-04
-1.778894472361808994e+02 4.484482643522103148e-04
-1.758793969849246253e+02 4.945470099743608759e-04
-1.738693467336683511e+02 5.406457555965115454e-04
-1.718592964824120486e+02 5.903083611710932500e-04
-1.698492462311557745e+02 6.406488364948142349e-04
-1.678391959798995003e+02 6.923238384034697017e-04
-1.658291457286432262e+02 7.477131573750574320e-04
-1.638190954773869521e+02 8.031024763466449454e-04
-1.618090452261306496e+02 8.628971366369664461e-04
-1.597989949748743754e+02 9.245648102226748741e-04
-1.577889447236181013e+02 9.862324838083831938e-04
-1.557788944723617988e+02 1.055011399652983030e-03
-1.537688442211055246e+02 1.123989502058932990e-03
-1.517587939698492505e+02 1.196228657130397974e-03
-1.497487437185929764e+02 1.273808077252622456e-03
-1.477386934673367023e+02 1.351387497374846505e-03
-1.457286432160803997e+02 1.436718941932734958e-03
-1.437185929648241256e+02 1.525590161203090652e-03
-1.417085427135678515e+02 1.615104460158050138e-03
-1.396984924623115489e+02 1.717431447449871158e-03
-1.376884422110552748e+02 1.819758434741690876e-03
-1.356783919597990007e+02 1.926600551017182287e-03
-1.336683417085427266e+02 2.040207377619206348e-03
-1.316582914572864524e+02 2.153814204221230193e-03
-1.296482412060301499e+02 2.282378007768791524e-03
-1.276381909547738758e+02 2.414245516908357456e-03
-1.256281407035176017e+02 2.550845553731786054e-03
-1.236180904522613133e+02 2.701676968480817755e-03
-1.216080402010050250e+02 2.852508383229849891e-03
-1.195979899497487509e+02 3.019595689251520793e-03
-1.175879396984924767e+02 3.193789952204657834e-03
-1.155778894472361884e+02 3.367984215157796175e-03
-1.135678391959799001e+02 3.568252972688356998e-03
-1.115577889447236259e+02 3.769832934463693361e-03
-1.095477386934673518e+02 3.983698007486121025e-03
-1.075376884422110635e+02 4.217628252134524372e-03
-1.055276381909547752e+02 4.451558496782927719e-03
-1.035175879396985010e+02 4.712861190472096909e-03
-1.015075376884422269e+02 4.987927726034911517e-03
-9.949748743718593857e+01 5.264878337528059934e-03
-9.748743718592965024e+01 5.575929684523271701e-03
-9.547738693467337612e+01 5.886981031518481733e-03
-9.346733668341710199e+01 6.218672436101919075e-03
-9.145728643216081366e+01 6.584158079011055188e-03
-8.944723618090452533e+01 6.949643721920190434e-03
-8.743718592964825120e+01 7.358660887661253036e-03
-8.542713567839197708e+01 7.784646992789650936e-03
-8.341708542713568875e+01 8.217819270335227633e-03
-8.140703517587940041e+01 8.721126948335851739e-03
-7.939698492462312629e+01 9.224434626336475845e-03
-7.738693467336685217e+01 9.761314013629070196e-03
-7.537688442211056383e+01 1.033022518387906492e-02
-7.336683417085427550e+01 1.089913635412905965e-02
-7.135678391959800138e+01 1.156563698674989774e-02
-6.934673366834172725e+01 1.223868616062484711e-02
-6.733668341708545313e+01 1.295832624269999990e-02
-6.532663316582915058e+01 1.375497215642143556e-02
-6.331658291457287646e+01 1.455161807014286254e-02
-6.130653266331660234e+01 1.544589662679756586e-02
-5.929648241206029979e+01 1.639407556046931433e-02
-5.728643216080402567e+01 1.735235340436142373e-02
-5.527638190954775155e+01 1.848194252636724266e-02
-5.326633165829147742e+01 1.961153164837306159e-02
-5.125628140703520330e+01 2.082990793977318802e-02
-4.924623115577890076e+01 2.221178575150878354e-02
-4.723618090452262663e+01 2.359366356324435823e-02
-4.522613065326635251e+01 2.513123747081233428e-02
-4.321608040201004997e+01 2.673003263785169240e-02
-4.120603015075377584e+01 2.835492473884677900e-02
-3.919597989949750172e+01 3.035098266099435851e-02
-3.718592964824122760e+01 3.234704058314193803e-02
-3.517587939698495347e+01 3.457119130170609872e-02
-3.316582914572865093e+01 3.703803898497513153e-02
-3.115577889447237681e+01 3.950488666824412964e-02
-2.914572864321610268e+01 4.254786206856727565e-02
-2.713567839195980014e+01 4.564292705308545250e-02
-2.512562814070352601e+01 4.907730769518894864e-02
-2.311557788944725189e+01 5.299590807918878183e-02
-2.110552763819097777e+01 5.718404379004091848e-02
-1.909547738693470365e+01 6.209209797160152033e-02
-1.708542713567840110e+01 6.759969357527025047e-02
-1.507537688442212698e+01 7.377264631547562901e-02
-1.306532663316585285e+01 8.107533043042534915e-02
-1.105527638190955031e+01 8.978726802830545861e-02
-9.045226130653276186e+00 1.007498759787767012e-01
-7.035175879397002063e+00 1.145950360223201708e-01
-5.025125628140727940e+00 1.337377465550635414e-01
-3.015075376884453817e+00 9.918805156609451779e-02
-1.005025125628151272e+00 6.318709262926780479e-02
1.005025125628122851e+00 -2.867138416792512981e-02
3.015075376884396974e+00 -1.782702160554322512e-01
5.025125628140699519e+00 -3.347601056902340111e-01
7.035175879396973642e+00 -5.054191762096807983e-01
