# r_nm Ndp_h_cm-3 Ndp_c_cm-3 Ndp_total_cm-3
0.000000000000000000e+00 5.505135802049931641e+12 9.627624185986900000e+13 1.017813776619189375e+14
2.512562814070351980e+00 5.716302393989941406e+12 9.991868562684921875e+13 1.056349880208391719e+14
5.025125628140703959e+00 5.901336402593282227e+12 1.031073390403062188e+14 1.090086754428995000e+14
7.537688442211056383e+00 6.087099218515108398e+12 1.063057130801400469e+14 1.123928122986551719e+14
1.005025125628140792e+01 6.397125348734998047e+12 1.116372681372508906e+14 1.180343934859858906e+14
1.256281407035175945e+01 6.749365599928767578e+12 1.176852053325964375e+14 1.244345709325252031e+14
1.507537688442211277e+01 7.134077872494374023e+12 1.242790717818180312e+14 1.314131496543124062e+14
1.758793969849246253e+01 7.650547533977059570e+12 1.331122177406454219e+14 1.407627652746225000e+14
2.010050251256281584e+01 8.161882086116598633e+12 1.418361480654399688e+14 1.499980301515565938e+14
2.261306532663316915e+01 8.767772305070390625e+12 1.521458583285117812e+14 1.609136306335821562e+14
2.512562814070351891e+01 9.358769315431361328e+12 1.621735869116873125e+14 1.715323562271186562e+14
2.763819095477387222e+01 9.992336695463359375e+12 1.728924360380840938e+14 1.828847727335474375e+14
3.015075376884422553e+01 1.061881902174245117e+13 1.834598212654765312e+14 1.940786402872189688e+14
3.266331658291457529e+01 1.129965477023757812e+13 1.949085663331918125e+14 2.062082211034293750e+14
3.517587939698492505e+01 1.193565894328024219e+13 2.055702195199889688e+14 2.175058784632692188e+14
3.768844221105528192e+01 1.259217344323040820e+13 2.165421994145178750e+14 2.291343728577482812e+14
4.020100502512563168e+01 1.324169530878821875e+13 2.273639801426695625e+14 2.406056754514577812e+14
4.271356783919598143e+01 1.382586152647006445e+13 2.370686663960438750e+14 2.508945279225139375e+14
4.522613065326633830e+01 1.446914946044505273e+13 2.477247800251414688e+14 2.621939294855865312e+14
4.773869346733668806e+01 1.497168400047863672e+13 2.560269660087438125e+14 2.709986500092224375e+14
5.025125628140703782e+01 1.550282323005856445e+13 2.647805052570383750e+14 2.802833284870969375e+14
5.276381909547739468e+01 1.599717825206828125e+13 2.729082967083032188e+14 2.889054749603715000e+14
5.527638190954774444e+01 1.647977048420128906e+13 2.808246052944952812e+14 2.973043757786965625e+14
5.778894472361809420e+01 1.693713179510477148e+13 2.883105944155141250e+14 3.052477262106189375e+14
6.030150753768845107e+01 1.730356207887325391e+13 2.942967370385542500e+14 3.116002991174275000e+14
6.281407035175880083e+01 1.771224261860649219e+13 3.009610544253621875e+14 3.186732970439686875e+14
6.532663316582915058e+01 1.805450694416839453e+13 3.065325838735951250e+14 3.245870908177635000e+14
6.783919597989950034e+01 1.842352842469635938e+13 3.125297524176620000e+14 3.309532808423583750e+14
7.035175879396985010e+01 1.875189505542418359e+13 3.178575782254126250e+14 3.366094732808368125e+14
7.286432160804021407e+01 1.907576618223727734e+13 3.231045135117736875e+14 3.421802796940110000e+14
7.537688442211056383e+01 1.931202794656583984e+13 3.269271466009351875e+14 3.462391745475010000e+14
7.788944723618091359e+01 1.960100440299141797e+13 3.315969958392564375e+14 3.511980002422478750e+14
8.040201005025126335e+01 1.982018084461895312e+13 3.351347118540452500e+14 3.549548926986642500e+14
8.291457286432161311e+01 1.999277673845849219e+13 3.379180473928173125e+14 3.579108241312758125e+14
8.542713567839196287e+01 2.025274426117688281e+13 3.421061704144175000e+14 3.623589146755943750e+14
8.793969849246231263e+01 2.043802195737021875e+13 3.450879541666085625e+14 3.655259761239788125e+14
9.045226130653267660e+01 2.062011140843828516e+13 3.480159394401626875e+14 3.686360508486010000e+14
9.296482412060302636e+01 2.079358797573751172e+13 3.508031387070482500e+14 3.715967266827857500e+14
9.547738693467337612e+01 2.099970776684394531e+13 3.541119046040725000e+14 3.751116123709164375e+14
9.798994974874372588e+01 2.111109464944979297e+13 3.558986470086444375e+14 3.770097416580942500e+14
1.005025125628140756e+02 2.124700413219391797e+13 3.580775089844173750e+14 3.793245131166113125e+14
1.030150753768844254e+02 2.146336431500268359e+13 3.615433150258153750e+14 3.830066793408180625e+14
1.055276381909547894e+02 2.161341488380923047e+13 3.639448972703993750e+14 3.855583121542085625e+14
1.080402010050251391e+02 2.163626578290192578e+13 3.643104835877123125e+14 3.859467493706142500e+14
1.105527638190954889e+02 2.177862110345590234e+13 3.665871265661635625e+14 3.883657476696195000e+14
1.130653266331658386e+02 2.189863895528698828e+13 3.685053730718577500e+14 3.904040120271447500e+14
1.155778894472361884e+02 2.207437325365244922e+13 3.713122226008863125e+14 3.933865958545388125e+14
1.180904522613065382e+02 2.210699454261080078e+13 3.718330037392635625e+14 3.939399982818743750e+14
1.206030150753769021e+02 2.220971940165168750e+13 3.734724391304161250e+14 3.956821585320678125e+14
1.231155778894472519e+02 2.231131079185700391e+13 3.750930222988291250e+14 3.974043330906861250e+14
1.256281407035176017e+02 2.239729813601542969e+13 3.764640979044973125e+14 3.988613960405127500e+14
1.281407035175879514e+02 2.245646986152328516e+13 3.774072809620696250e+14 3.998637508235928750e+14
1.306532663316583012e+02 2.253851891005564062e+13 3.787146980561089375e+14 4.012532169661645000e+14
1.331658291457286509e+02 2.265497647158279297e+13 3.805695529440366875e+14 4.032245294156194375e+14
1.356783919597990007e+02 2.271139819216939453e+13 3.814678414559141875e+14 4.041792396480836250e+14
1.381909547738693504e+02 2.278486783343539062e+13 3.826371999926260000e+14 4.054220678260613750e+14
1.407035175879397002e+02 2.285147070154828516e+13 3.836969240756315000e+14 4.065483947771797500e+14
1.432160804020100500e+02 2.297395583301557812e+13 3.856449486646220000e+14 4.086189044976375625e+14
1.457286432160804281e+02 2.298223815511182031e+13 3.857766325443278750e+14 4.087588706994396875e+14
1.482412060301507779e+02 2.305486603337508594e+13 3.869311568697347500e+14 4.099860229031098750e+14
1.507537688442211277e+02 2.309662185105265625e+13 3.875947510207649375e+14 4.106913728718176250e+14
1.532663316582914774e+02 2.314837975301925391e+13 3.884171241123795000e+14 4.115655038653988125e+14
1.557788944723618272e+02 2.320079816004522656e+13 3.892497925203108125e+14 4.124505906803560000e+14
1.582914572864321769e+02 2.329000704659526172e+13 3.906664180961161875e+14 4.139564251427114375e+14
1.608040201005025267e+02 2.336851470402140625e+13 3.919126293346711875e+14 4.152811440386926250e+14
1.633165829145728765e+02 2.334088978910543359e+13 3.914741694789832500e+14 4.148150592680886875e+14
1.658291457286432262e+02 2.339766772730688281e+13 3.923752828390709375e+14 4.157729505663778750e+14
1.683417085427135760e+02 2.344076335399801562e+13 3.930590896173365625e+14 4.164998529713346250e+14
1.708542713567839257e+02 2.348591885344536719e+13 3.937754356222663125e+14 4.172613544757116875e+14
1.733668341708542755e+02 2.353339963001538281e+13 3.945285095897133750e+14 4.180619092197287500e+14
1.758793969849246253e+02 2.356220330781441016e+13 3.949852734197400625e+14 4.185474767275545000e+14
1.783919597989950034e+02 2.361704183702788672e+13 3.958547265470110000e+14 4.194717683840388750e+14
1.809045226130653532e+02 2.364896986265550000e+13 3.963608377421682500e+14 4.200098076048237500e+14
1.834170854271357030e+02 2.369801061451186328e+13 3.971380690653803750e+14 4.208360796798922500e+14
1.859296482412060527e+02 2.375403264752146484e+13 3.980257304536145000e+14 4.217797631011359375e+14
1.884422110552764025e+02 2.374726525610358984e+13 3.979185141888245000e+14 4.216657794449281250e+14
1.909547738693467522e+02 2.379294673963528516e+13 3.986421845717616250e+14 4.224351313113969375e+14
1.934673366834171020e+02 2.383028683614233594e+13 3.992336008973768125e+14 4.230638877335191250e+14
1.959798994974874518e+02 2.388711889598439453e+13 4.001335489527862500e+14 4.240206678487706250e+14
1.984924623115578015e+02 2.386531468906462891e+13 3.997883023277481875e+14 4.236536170168128750e+14
2.010050251256281513e+02 2.391216265135617578e+13 4.005300478000173750e+14 4.244422104513736250e+14
2.035175879396985010e+02 2.392636884885326953e+13 4.007549435374185000e+14 4.246813123862718125e+14
2.060301507537688508e+02 2.398587795912329688e+13 4.016968622101155625e+14 4.256827401692388125e+14
2.085427135678392006e+02 2.401462136542589453e+13 4.021517248637514375e+14 4.261663462291773750e+14
2.110552763819095787e+02 2.403600860648630859e+13 4.024901377438095000e+14 4.265261463502958125e+14
2.135678391959799285e+02 2.406478290644568750e+13 4.029453845749008750e+14 4.270101674813465625e+14
2.160804020100502782e+02 2.409872656458317188e+13 4.034823401478407500e+14 4.275810667124238750e+14
2.185929648241206280e+02 2.410765406929531250e+13 4.036235506858323125e+14 4.277312047551276250e+14
2.211055276381909778e+02 2.414104315884862891e+13 4.041516303725768750e+14 4.282926735314255000e+14
2.236180904522613275e+02 2.411417197061185938e+13 4.037266437435655000e+14 4.278408157141773750e+14
2.261306532663316773e+02 2.417185642917833984e+13 4.046388993431421875e+14 4.288107557723205625e+14
2.286432160804020270e+02 2.418998034210043750e+13 4.049254716420936875e+14 4.291154519841940625e+14
2.311557788944723768e+02 2.419881516945167969e+13 4.050651578312085625e+14 4.292639730006602500e+14
2.336683417085427266e+02 2.421566645734601562e+13 4.053315754423616875e+14 4.295472418997076875e+14
2.361809045226130763e+02 2.425215403455515625e+13 4.059083708078338125e+14 4.301605248423889375e+14
2.386934673366834261e+02 2.425870155392573828e+13 4.060118637393596250e+14 4.302705652932853750e+14
2.412060301507538043e+02 2.433967728575195312e+13 4.072915445789936875e+14 4.316312218647456250e+14
2.437185929648241540e+02 2.429844624997830859e+13 4.066400189990125000e+14 4.309384652489907500e+14
2.462311557788945038e+02 2.427281996050115234e+13 4.062350148286161875e+14 4.305078347891173125e+14
2.487437185929648535e+02 2.437005410416338672e+13 4.077714749646439375e+14 4.321415290688073750e+14
2.512562814070352033e+02 2.436117406167707031e+13 4.076311840286255625e+14 4.319923580903026875e+14
2.537688442211055531e+02 2.436619037937390625e+13 4.077104347908329375e+14 4.320766251702068125e+14
2.562814070351759028e+02 2.440012666696400000e+13 4.082465325401715625e+14 4.326466592071355625e+14
2.587939698492462526e+02 2.438796404651446484e+13 4.080544069832222500e+14 4.324423710297367500e+14
2.613065326633166023e+02 2.441307172770987500e+13 4.084510060701030000e+14 4.328640777978128125e+14
2.638190954773869521e+02 2.446324843653837500e+13 4.092434569802289375e+14 4.337067054167673125e+14
2.663316582914573019e+02 2.445904779997655078e+13 4.091771224649720000e+14 4.336361702649485625e+14
2.688442211055276516e+02 2.447160826212530469e+13 4.093754676917999375e+14 4.338470759539251875e+14
2.713567839195980014e+02 2.447100786798564844e+13 4.093659869857830625e+14 4.338369948537686875e+14
2.738693467336683511e+02 2.448367699147755078e+13 4.095660370973552500e+14 4.340497140888328125e+14
2.763819095477387009e+02 2.448392725436687500e+13 4.095699887233122500e+14 4.340539159776791250e+14
2.788944723618090507e+02 2.452054362330412891e+13 4.101481086977653750e+14 4.346686523210695000e+14
2.814070351758794004e+02 2.452381307538473828e+13 4.101997239432033125e+14 4.347235370185880000e+14
2.839195979899497502e+02 2.453805719059419141e+13 4.104245885357491250e+14 4.349626457263433125e+14
2.864321608040200999e+02 2.457266157558010547e+13 4.109708092215819375e+14 4.355434707971620625e+14
2.889447236180904497e+02 2.456413472764464453e+13 4.108362233142971250e+14 4.354003580419418125e+14
2.914572864321608563e+02 2.453031265847967969e+13 4.103023313715221875e+14 4.348326440300018750e+14
2.939698492462312061e+02 2.462596649792090234e+13 4.118120433529801250e+14 4.364380098509010000e+14
2.964824120603015558e+02 2.459134354439481250e+13 4.112656629665045625e+14 4.358570065108993750e+14
2.989949748743719056e+02 2.462813493365599609e+13 4.118462602759443125e+14 4.364743952096003125e+14
3.015075376884422553e+02 2.460189416714112500e+13 4.114321701689836875e+14 4.360340643361248125e+14
3.040201005025126051e+02 2.469858198901238281e+13 4.129576977300777500e+14 4.376562797190901875e+14
3.065326633165829548e+02 2.460541792225364453e+13 4.114877793693692500e+14 4.360931972916228750e+14
3.090452261306533046e+02 2.467367473946612109e+13 4.125647790587979375e+14 4.372384537982640000e+14
3.115577889447236544e+02 2.464894262484972266e+13 4.121745788403669375e+14 4.368235214652166250e+14
3.140703517587940041e+02 2.467947520362841016e+13 4.126562869700589375e+14 4.373357621736873750e+14
3.165829145728643539e+02 2.462235880603342578e+13 4.117551148739601875e+14 4.363774736799935625e+14
3.190954773869347036e+02 2.467910490666305469e+13 4.126504452512613125e+14 4.373295501579243125e+14
3.216080402010050534e+02 2.472380600739350000e+13 4.133555678453344375e+14 4.380793738527279375e+14
3.241206030150754032e+02 2.471224197055417188e+13 4.131731686453673750e+14 4.378854106159215000e+14
3.266331658291457529e+02 2.470394375572699219e+13 4.130422752039481250e+14 4.377462189596751250e+14
3.291457286432161027e+02 2.469294043555344531e+13 4.128687046076831875e+14 4.375616450432366250e+14
3.316582914572864524e+02 2.473615748478334375e+13 4.135503766541055625e+14 4.382865341388889375e+14
3.341708542713568022e+02 2.475090627660775781e+13 4.137829817276599375e+14 4.385338880042676875e+14
3.366834170854271520e+02 2.474208651669071094e+13 4.136438860592541875e+14 4.383859725759448750e+14
3.391959798994975017e+02 2.477130421814710156e+13 4.141046543768044375e+14 4.388759585949515625e+14
3.417085427135678515e+02 2.477985065289836719e+13 4.142394215121984375e+14 4.390192721650968125e+14
3.442211055276382012e+02 2.480847736699819922e+13 4.146907924159254375e+14 4.394992697829236250e+14
3.467336683417085510e+02 2.471682263626370312e+13 4.132454205009299375e+14 4.379622431371936250e+14
3.492462311557789008e+02 2.471510744194700781e+13 4.132183665382838125e+14 4.379334739802307500e+14
3.517587939698492505e+02 2.480567184884139844e+13 4.146465591024866250e+14 4.394522309513280000e+14
3.542713567839196571e+02 2.478597938683784375e+13 4.143360611278521875e+14 4.391220405146900625e+14
3.567839195979900069e+02 2.477404570515446094e+13 4.141478849485228125e+14 4.389219306536773125e+14
3.592964824120603566e+02 2.477374932812271875e+13 4.141432113984478125e+14 4.389169607265705625e+14
3.618090452261307064e+02 2.480144498012280859e+13 4.145799149361608125e+14 4.393813599162835625e+14
3.643216080402010562e+02 2.477326377692628125e+13 4.141355547596077500e+14 4.389088185365340000e+14
3.668341708542714059e+02 2.479342702683724609e+13 4.144534939787600000e+14 4.392469210055972500e+14
3.693467336683417557e+02 2.479407088372939844e+13 4.144636459933505000e+14 4.392577168770799375e+14
3.718592964824121054e+02 2.482743994242865625e+13 4.149897517177826875e+14 4.398171916602113125e+14
3.743718592964824552e+02 2.481834126918067188e+13 4.148463075113007500e+14 4.396646487804814375e+14
3.768844221105528050e+02 2.480143512862302734e+13 4.145797596080913125e+14 4.393811947367143125e+14
3.793969849246231547e+02 2.483004334394359766e+13 4.150307942798658125e+14 4.398608376238094375e+14
3.819095477386935045e+02 2.485534718410819531e+13 4.154296832292566875e+14 4.402850304133648750e+14
3.844221105527638542e+02 2.481652428546307812e+13 4.148176613238044375e+14 4.396341856092675625e+14
3.869346733668342040e+02 2.485039496398511328e+13 4.153516202217173750e+14 4.402020151857024375e+14
3.894472361809045537e+02 2.481380791944143750e+13 4.147748352175055000e+14 4.395886431369469375e+14
3.919597989949749035e+02 2.487286852754401172e+13 4.157058620699859375e+14 4.405787305975299375e+14
3.944723618090452533e+02 2.485489366194722656e+13 4.154225343266524375e+14 4.402774279885996250e+14
3.969849246231156030e+02 2.486418047243761328e+13 4.155689200320832500e+14 4.404331005045208125e+14
3.994974874371859528e+02 2.485718970048613281e+13 4.154587267954704375e+14 4.403159164959565625e+14
4.020100502512563025e+02 2.487383022859914453e+13 4.157210201683320625e+14 4.405948503969311875e+14
4.045226130653266523e+02 2.481639816254044531e+13 4.148156728871860625e+14 4.396320710497265000e+14
4.070351758793970021e+02 2.486594642148507422e+13 4.155967555476027500e+14 4.404627019690877500e+14
4.095477386934673518e+02 2.482807625405821094e+13 4.149997832004406250e+14 4.398278594544988125e+14
4.120603015075377016e+02 2.486725848066376953e+13 4.156174365442568750e+14 4.404846950249206875e+14
4.145728643216080513e+02 2.489616679859389062e+13 4.160730649848435625e+14 4.409692317834374375e+14
4.170854271356784011e+02 2.487577992201624609e+13 4.157517505574460000e+14 4.406275304794623125e+14
4.195979899497488077e+02 2.492290524236024609e+13 4.164944400384101875e+14 4.414173452807704375e+14
4.221105527638191575e+02 2.484944625567017188e+13 4.153366653080091875e+14 4.401861115636793750e+14
4.246231155778895072e+02 2.488817341723248828e+13 4.159470861035298750e+14 4.408352595207623750e+14
4.271356783919598570e+02 2.487341828337228125e+13 4.157145271959349375e+14 4.405879454793072500e+14
4.296482412060302067e+02 2.489144487105407031e+13 4.159986460789508750e+14 4.408900909500049375e+14
4.321608040201005565e+02 2.488038675053166797e+13 4.158243606956641250e+14 4.407047474461958125e+14
4.346733668341709063e+02 2.491769407316997266e+13 4.164123205052993750e+14 4.413300145784693750e+14
4.371859296482412560e+02 2.489616758158624219e+13 4.160730773248898750e+14 4.409692449064761250e+14
4.396984924623116058e+02 2.488904005829610156e+13 4.159607449354451875e+14 4.408497849937413125e+14
4.422110552763819555e+02 2.490540329003904688e+13 4.162186300372823125e+14 4.411240333273213750e+14
4.447236180904523053e+02 2.486114916247226953e+13 4.155211389241476875e+14 4.403822880866199375e+14
4.472361809045226551e+02 2.493010078759366016e+13 4.166078268844180625e+14 4.415379276720117500e+14
4.497487437185930048e+02 2.490321435581725391e+13 4.161841334768156875e+14 4.410873478326329375e+14
4.522613065326633546e+02 2.486817032753069531e+13 4.156318092237251250e+14 4.404999795512558125e+14
4.547738693467337043e+02 2.493149961621495312e+13 4.166298690842647500e+14 4.415613687004796875e+14
4.572864321608040541e+02 2.492657821500533594e+13 4.165523189242216250e+14 4.414788971392269375e+14
4.597989949748744039e+02 2.490897225450403125e+13 4.162748744757474375e+14 4.411838467302515000e+14
4.623115577889447536e+02 2.493232309765802344e+13 4.166428451200364375e+14 4.415751682176944375e+14
4.648241206030151034e+02 2.492493785630503516e+13 4.165264701903887500e+14 4.414514080466938125e+14
4.673366834170854531e+02 2.496294135171713281e+13 4.171252785478963750e+14 4.420882198996134375e+14
4.698492462311558029e+02 2.490200737901204688e+13 4.161651119495730000e+14 4.410671193285850625e+14
4.723618090452261526e+02 2.487885906470362891e+13 4.158002823743108750e+14 4.406791414390145625e+14
4.748743718592965024e+02 2.493342270283572266e+13 4.166601721083351250e+14 4.415935948111708750e+14
4.773869346733668522e+02 2.488200221581614062e+13 4.158498223525866875e+14 4.407318245684028125e+14
4.798994974874372019e+02 2.493707057691906250e+13 4.167176527260671250e+14 4.416547233029861875e+14
4.824120603015076085e+02 2.493712649483546484e+13 4.167185338335454375e+14 4.416556603283808750e+14
4.849246231155779583e+02 2.496375636881817188e+13 4.171381193588710625e+14 4.421018757276892500e+14
4.874371859296483080e+02 2.496314149444885156e+13 4.171284318542487500e+14 4.420915733486976250e+14
4.899497487437186578e+02 2.495884063547085547e+13 4.170606699471441875e+14 4.420195105826150000e+14
4.924623115577890076e+02 2.495922588095165625e+13 4.170667397119316250e+14 4.420259655928832500e+14
4.949748743718593573e+02 2.498926418096558203e+13 4.175399775114335000e+14 4.425292416923991250e+14
4.974874371859297071e+02 2.495226949964554297e+13 4.169571362634481875e+14 4.419094057630937500e+14
5.000000000000000000e+02 2.484985896979592188e+13 4.153431711134408750e+14 4.401930300832368125e+14
