# z_nm Ndp_h_cm-3 Ndp_c_cm-3 Ndp_total_cm-3
-2.000000000000000000e+02 2.635527437591057000e+15 6.315099752505218000e+15 8.950627190096275000e+15
-1.990201005025125767e+02 2.635063665655178000e+15 6.314949479510750000e+15 8.950013145165928000e+15
-1.980402010050251249e+02 2.634599718355054000e+15 6.314799103918050000e+15 8.949398822273104000e+15
-1.970603015075377016e+02 2.634135595714932000e+15 6.314648625662134000e+15 8.948784221377066000e+15
-1.960804020100502498e+02 2.633671297759169000e+15 6.314498044677982000e+15 8.948169342437151000e+15
-1.951005025125628265e+02 2.633206824512237500e+15 6.314347360900535000e+15 8.947554185412773000e+15
-1.941206030150753747e+02 2.632736342560698500e+15 6.314194680918698000e+15 8.946931023479396000e+15
-1.931407035175879514e+02 2.632262271191365000e+15 6.314040788372149000e+15 8.946303059563514000e+15
-1.921608040201004997e+02 2.631788017567676500e+15 6.313886788697899000e+15 8.945674806265575000e+15
-1.911809045226130763e+02 2.631313581716074000e+15 6.313732681826790000e+15 8.945046263542864000e+15
-1.902010050251256246e+02 2.630838963663117000e+15 6.313578467689625000e+15 8.944417431352743000e+15
-1.892211055276382012e+02 2.630360976729587000e+15 6.313423110298526000e+15 8.943784087028113000e+15
-1.882412060301507495e+02 2.629865615111501000e+15 6.313262054193910000e+15 8.943127669305411000e+15
-1.872613065326633262e+02 2.629370055415058000e+15 6.313100881193979000e+15 8.942470936609037000e+15
-1.862814070351758744e+02 2.628874297670946000e+15 6.312939591220076000e+15 8.941813888891022000e+15
-1.853015075376884511e+02 2.628378341909998500e+15 6.312778184193499000e+15 8.941156526103498000e+15
-1.843216080402009993e+02 2.627882188163194500e+15 6.312616660035503000e+15 8.940498848198698000e+15
-1.833417085427135760e+02 2.627364157562981000e+15 6.312447957536894000e+15 8.939812115099875000e+15
-1.823618090452261242e+02 2.626835571681447000e+15 6.312275758305740000e+15 8.939111329987187000e+15
-1.813819095477387009e+02 2.626306761566456500e+15 6.312103426071874000e+15 8.938410187638330000e+15
-1.804020100502512491e+02 2.625777727256094000e+15 6.311930960740095000e+15 8.937708687996190000e+15
-1.794221105527638258e+02 2.625248468788632000e+15 6.311758362215146000e+15 8.937006831003779000e+15
-1.784422110552763741e+02 2.624708943327780500e+15 6.311582353557093000e+15 8.936291296884873000e+15
