# r_nm potential_V
0.000000000000000000e+00 1.955964662986576785e-01
2.512562814070351980e+00 1.946216089089928269e-01
5.025125628140703959e+00 1.937964167325828824e-01
7.537688442211056383e+00 1.929934658880524123e-01
1.005025125628140792e+01 1.917064271471441705e-01
1.256281407035175945e+01 1.903175827411085486e-01
1.507537688442211277e+01 1.888809882120549843e-01
1.758793969849246253e+01 1.870695244772865029e-01
2.010050251256281584e+01 1.853924206362813631e-01
2.261306532663316915e+01 1.835359138636747656e-01
2.512562814070351891e+01 1.818443817392049744e-01
2.763819095477387222e+01 1.801454620035642384e-01
3.015075376884422553e+01 1.785679673289214120e-01
3.266331658291457529e+01 1.769555861127503626e-01
3.517587939698492505e+01 1.755344983818636906e-01
3.768844221105528192e+01 1.741446558775020803e-01
4.020100502512563168e+01 1.728389177310324931e-01
4.271356783919598143e+01 1.717178798107367177e-01
4.522613065326633830e+01 1.705368026892200295e-01
4.773869346733668806e+01 1.696498483082908570e-01
5.025125628140703782e+01 1.687441200165908928e-01
5.276381909547739468e+01 1.679284537479888428e-01
5.527638190954774444e+01 1.671560562914918557e-01
5.778894472361809420e+01 1.664445384518088711e-01
6.030150753768845107e+01 1.658880729604419457e-01
6.281407035175880083e+01 1.652811939797092233e-01
6.532663316582915058e+01 1.647835112286581138e-01
6.783919597989950034e+01 1.642573811656669325e-01
7.035175879396985010e+01 1.637979256131203432e-01
7.286432160804021407e+01 1.633525494886006735e-01
7.537688442211056383e+01 1.630322967957967273e-01
7.788944723618091359e+01 1.626459493258487210e-01
8.040201005025126335e+01 1.623566277289951176e-01
8.291457286432161311e+01 1.621309807562841543e-01
8.542713567839196287e+01 1.617948877996377433e-01
8.793969849246231263e+01 1.615579001578431040e-01
9.045226130653267660e+01 1.613270650698032938e-01
9.296482412060302636e+01 1.611090323966952176e-01
9.547738693467337612e+01 1.608523592900030774e-01
9.798994974874372588e+01 1.607146159036461630e-01
1.005025125628140756e+02 1.605475674616868020e-01
1.030150753768844254e+02 1.602839229616301320e-01
1.055276381909547894e+02 1.601025907291366290e-01
1.080402010050251391e+02 1.600749639443286854e-01
1.105527638190954889e+02 1.599042712791085008e-01
1.130653266331658386e+02 1.597612066756590454e-01
1.155778894472361884e+02 1.595531888845953539e-01
1.180904522613065382e+02 1.595146557337437654e-01
1.206030150753769021e+02 1.593939547543186397e-01
1.231155778894472519e+02 1.592751417562675575e-01
1.256281407035176017e+02 1.591749894997080417e-01
1.281407035175879514e+02 1.591062650391944777e-01
1.306532663316583012e+02 1.590113020271586020e-01
1.331658291457286509e+02 1.588771407665436064e-01
1.356783919597990007e+02 1.588123456367680486e-01
1.381909547738693504e+02 1.587282435210364273e-01
1.407035175879397002e+02 1.586522189391983417e-01
1.432160804020100500e+02 1.585130593105850971e-01
1.457286432160804281e+02 1.585036166007858516e-01
1.482412060301507779e+02 1.584214645230532792e-01
1.507537688442211277e+02 1.583743135518247414e-01
1.532663316582914774e+02 1.583159999302958532e-01
1.557788944723618272e+02 1.582570740452350910e-01
1.582914572864321769e+02 1.581571574094221555e-01
1.608040201005025267e+02 1.580695483601378959e-01
1.633165829145728765e+02 1.581002810609914155e-01
1.658291457286432262e+02 1.580370213147301306e-01
1.683417085427135760e+02 1.579890949813180789e-01
1.708542713567839257e+02 1.579389752463778718e-01
1.733668341708542755e+02 1.578863749987090837e-01
1.758793969849246253e+02 1.578544966054829524e-01
1.783919597989950034e+02 1.577939597308184727e-01
1.809045226130653532e+02 1.577587565135758207e-01
1.834170854271357030e+02 1.577048057390137148e-01
1.859296482412060527e+02 1.576433250504077621e-01
1.884422110552764025e+02 1.576507053213529741e-01
1.909547738693467522e+02 1.576006598811929837e-01
1.934673366834171020e+02 1.575598143689949382e-01
1.959798994974874518e+02 1.574977848786170975e-01
1.984924623115578015e+02 1.575215108088084681e-01
2.010050251256281513e+02 1.574704484750701072e-01
2.035175879396985010e+02 1.574549657731827701e-01
2.060301507537688508e+02 1.573902942080378509e-01
2.085427135678392006e+02 1.573590992953155798e-01
2.110552763819095787e+02 1.573359002114357030e-01
2.135678391959799285e+02 1.573047366662667645e-01
2.160804020100502782e+02 1.572680209243209337e-01
2.185929648241206280e+02 1.572583492062937516e-01
2.211055276381909778e+02 1.572223017952147084e-01
2.236180904522613275e+02 1.572512547611606137e-01
2.261306532663316773e+02 1.571890578698510177e-01
2.286432160804020270e+02 1.571695342040328180e-01
2.311557788944723768e+02 1.571600085452676265e-01
2.336683417085427266e+02 1.571418697095672001e-01
2.361809045226130763e+02 1.571026639788327683e-01
2.386934673366834261e+02 1.570956156262237613e-01
2.412060301507538043e+02 1.570088616862644892e-01
2.437185929648241540e+02 1.570529624796034307e-01
2.462311557788945038e+02 1.570804050486331316e-01
2.487437185929648535e+02 1.569763383400508139e-01
2.512562814070352033e+02 1.569858051757051232e-01
2.537688442211055531e+02 1.569804241374430642e-01
2.562814070351759028e+02 1.569441778794261055e-01
2.587939698492462526e+02 1.569571337031458735e-01
2.613065326633166023e+02 1.569303349566210926e-01
2.638190954773869521e+02 1.568768813964394326e-01
2.663316582914573019e+02 1.568813360681492186e-01
2.688442211055276516e+02 1.568679624387415705e-01
2.713567839195980014e+02 1.568685870482374178e-01
2.738693467336683511e+02 1.568550991935680483e-01
2.763819095477387009e+02 1.568548189105368751e-01
2.788944723618090507e+02 1.568159095947552484e-01
2.814070351758794004e+02 1.568124241381959882e-01
2.839195979899497502e+02 1.567972942121929336e-01
2.864321608040200999e+02 1.567606040992444161e-01
2.889447236180904497e+02 1.567696245465221017e-01
2.914572864321608563e+02 1.568054680857927097e-01
2.939698492462312061e+02 1.567041634933904748e-01
2.964824120603015558e+02 1.567407863028533466e-01
2.989949748743719056e+02 1.567018662877279200e-01
3.015075376884422553e+02 1.567295907624234874e-01
3.040201005025126051e+02 1.566274829388091816e-01
3.065326633165829548e+02 1.567258346513646650e-01
3.090452261306533046e+02 1.566537234407367751e-01
3.115577889447236544e+02 1.566798226694081919e-01
3.140703517587940041e+02 1.566475942489101991e-01
3.165829145728643539e+02 1.567078912801624646e-01
3.190954773869347036e+02 1.566479578281352869e-01
3.216080402010050534e+02 1.566008419475194424e-01
3.241206030150754032e+02 1.566130110374442108e-01
3.266331658291457529e+02 1.566217424046237316e-01
3.291457286432161027e+02 1.566333425108422661e-01
3.316582914572864524e+02 1.565878171763271653e-01
3.341708542713568022e+02 1.565722743783580784e-01
3.366834170854271520e+02 1.565815416574942165e-01
3.391959798994975017e+02 1.565508184422034488e-01
3.417085427135678515e+02 1.565418302060180844e-01
3.442211055276382012e+02 1.565117648739098033e-01
3.467336683417085510e+02 1.566081033846659920e-01
3.492462311557789008e+02 1.566099179556162402e-01
3.517587939698492505e+02 1.565147175366357890e-01
3.542713567839196571e+02 1.565353835852855147e-01
3.567839195979900069e+02 1.565479063109408708e-01
3.592964824120603566e+02 1.565482103540788705e-01
3.618090452261307064e+02 1.565191267674191922e-01
