# z_nm potential_V
-2.000000000000000000e+02 0.000000000000000000e+00
-1.979899497487437259e+02 3.871816555543158470e-05
-1.959798994974874518e+02 7.743633111086316940e-05
-1.939698492462311492e+02 1.164491661619784866e-04
-1.919597989949748751e+02 1.559372901996760382e-04
-1.899497487437186010e+02 1.954254142373736439e-04
-1.879396984924622984e+02 2.361225160128296472e-04
-1.859296482412060243e+02 2.773044436666215347e-04
-1.839195979899497502e+02 3.185995503029586686e-04
-1.819095477386934760e+02 3.624371163110676154e-04
-1.798994974874372019e+02 4.062746823191765080e-04
-1.778894472361808994e+02 4.512787944839146358e-04
-1.758793969849246253e+02 4.978846736468353412e-04
-1.738693467336683511e+02 5.444905528097558839e-04
-1.718592964824120486e+02 5.947843973621979446e-04
-1.698492462311557745e+02 6.457797173392633731e-04
-1.678391959798995003e+02 6.981533990215673833e-04
-1.658291457286432262e+02 7.543634017322092128e-04
-1.638190954773869521e+02 8.105734044428511507e-04
-1.618090452261306496e+02 8.713278557337701680e-04
-1.597989949748743754e+02 9.340144643753275173e-04
-1.577889447236181013e+02 9.967010730168846498e-04
-1.557788944723617988e+02 1.066721214521151352e-03
-1.537688442211055246e+02 1.136946768967389337e-03
-1.517587939698492505e+02 1.210535462705709898e-03
-1.497487437185929764e+02 1.289631597465228617e-03
-1.477386934673367023e+02 1.368727732224747119e-03
-1.457286432160803997e+02 1.455821669904112372e-03
-1.437185929648241256e+02 1.546567611104097007e-03
-1.417085427135678515e+02 1.637977274509201274e-03
-1.396984924623115489e+02 1.742610906825244142e-03
-1.376884422110552748e+02 1.847244539141284624e-03
-1.356783919597990007e+02 1.956549050280790084e-03
-1.336683417085427266e+02 2.072851621126968556e-03
-1.316582914572864524e+02 2.189154191973147461e-03
-1.296482412060301499e+02 2.320933439598408306e-03
-1.276381909547738758e+02 2.456131184411094754e-03
-1.256281407035176017e+02 2.596233641617111745e-03
-1.236180904522613133e+02 2.751085260444285398e-03
-1.216080402010050250e+02 2.905936879271459050e-03
-1.195979899497487509e+02 3.077671967340326470e-03
-1.175879396984924767e+02 3.256788384844905553e-03
-1.155778894472361884e+02 3.435904802349485938e-03
-1.135678391959799001e+02 3.642167277764959011e-03
-1.115577889447236259e+02 3.849794842971761104e-03
-1.095477386934673518e+02 4.070242994117501817e-03
-1.075376884422110635e+02 4.311630903319666787e-03
-1.055276381909547752e+02 4.553018812521832624e-03
-1.035175879396985010e+02 4.823018464540345523e-03
-1.015075376884422269e+02 5.107405119463386857e-03
-9.949748743718593857e+01 5.393774804211710731e-03
-9.748743718592965024e+01 5.716036235399698726e-03
-9.547738693467337612e+01 6.038297666587683250e-03
-9.346733668341710199e+01 6.382286246019721991e-03
-9.145728643216081366e+01 6.761848971636125714e-03
-8.944723618090452533e+01 7.141411697252528570e-03
-8.743718592964825120e+01 7.567063564813051105e-03
-8.542713567839197708e+01 8.010681352359501350e-03
-8.341708542713568875e+01 8.461933124614589088e-03
-8.140703517587940041e+01 8.987690842945820352e-03
-7.939698492462312629e+01 9.513448561277048146e-03
-7.738693467336685217e+01 1.007524605149439853e-02
-7.537688442211056383e+01 1.067143017781807708e-02
-7.336683417085427550e+01 1.126761430414175563e-02
-7.135678391959800138e+01 1.196877480728489491e-02
-6.934673366834172725e+01 1.267697953546636190e-02
-6.733668341708545313e+01 1.343570577091602290e-02
-6.532663316582915058e+01 1.427793436408950935e-02
-6.331658291457287646e+01 1.512016295726298191e-02
-6.130653266331660234e+01 1.606944743548772980e-02
-5.929648241206029979e+01 1.707783461126109043e-02
-5.728643216080402567e+01 1.809742789724217912e-02
-5.527638190954775155e+01 1.930711427450548454e-02
-5.326633165829147742e+01 2.051680065176879342e-02
-5.125628140703520330e+01 2.182635737811737184e-02
-4.924623115577890076e+01 2.331982529369825211e-02
-4.723618090452262663e+01 2.481329320927910809e-02
-4.522613065326635251e+01 2.648534933146767800e-02
-4.321608040201004997e+01 2.822762811965699378e-02
-4.120603015075377584e+01 3.000045363318756472e-02
-3.919597989949750172e+01 3.220773249721652770e-02
-3.718592964824122760e+01 3.441501136124548721e-02
-3.517587939698495347e+01 3.689731742214770460e-02
-3.316582914572865093e+01 3.967225993164043285e-02
-3.115577889447237681e+01 4.244720244113313334e-02
-2.914572864321610268e+01 4.594388296679580846e-02
-2.713567839195980014e+01 4.950581817826368164e-02
-2.512562814070352601e+01 5.351293343334057734e-02
-2.311557788944725189e+01 5.815534199420770156e-02
-2.110552763819097777e+01 6.317375962579654947e-02
-1.909547738693470365e+01 6.919648299469921549e-02
-1.708542713567840110e+01 7.611919408110374985e-02
-1.507537688442212698e+01 8.405840262771090143e-02
-1.306532663316585285e+01 9.385396101675048952e-02
-1.105527638190955031e+01 1.062344392465817827e-01
-9.045226130653276186e+00 1.234407982902483158e-01
-7.035175879397002063e+00 1.485100032387025870e-01
-5.025125628140727940e+00 1.954992644123349221e-01
-3.015075376884453817e+00 2.814664502190049045e-01
-1.005025125628151272e+00 3.702749782583845128e-01
1.005025125628122851e+00 5.962584146691609632e-01
3.015075376884396974e+00 9.640305280097336560e-01
5.025125628140699519e+00 1.348540445674273780e+00
7.035175879396973642e+00 1.767717164247701422e+00
