# r_nm potential_V
0.000000000000000000e+00 1.865981547637086957e-01
2.512562814070351980e+00 1.856219324185478525e-01
5.025125628140703959e+00 1.849059675991000518e-01
7.537688442211056383e+00 1.842985279452523939e-01
1.005025125628140792e+01 1.832326062580088843e-01
1.256281407035175945e+01 1.821172795550401180e-01
1.507537688442211277e+01 1.809879057365119670e-01
1.758793969849246253e+01 1.794861016701234657e-01
2.010050251256281584e+01 1.781286832350569560e-01
2.261306532663316915e+01 1.765619577449076549e-01
2.512562814070351891e+01 1.751590734640944280e-01
2.763819095477387222e+01 1.737194897164195950e-01
3.015075376884422553e+01 1.723883533839353777e-01
3.266331658291457529e+01 1.709885277555462102e-01
3.517587939698492505e+01 1.697698360283033392e-01
3.768844221105528192e+01 1.685572086047644469e-01
4.020100502512563168e+01 1.674056886363063656e-01
4.271356783919598143e+01 1.664284050352294042e-01
4.522613065326633830e+01 1.653697101366471689e-01
4.773869346733668806e+01 1.646005597147403021e-01
5.025125628140703782e+01 1.637960376072028768e-01
5.276381909547739468e+01 1.630683855507349955e-01
5.527638190954774444e+01 1.623739204363128796e-01
5.778894472361809420e+01 1.617329100221767124e-01
6.030150753768845107e+01 1.612430066318924216e-01
6.281407035175880083e+01 1.606909889491849319e-01
6.532663316582915058e+01 1.602467738323759550e-01
6.783919597989950034e+01 1.597651042855109949e-01
7.035175879396985010e+01 1.593477337293402185e-01
7.286432160804021407e+01 1.589412600321901126e-01
7.537688442211056383e+01 1.586588198583571696e-01
7.788944723618091359e+01 1.583029742518918259e-01
8.040201005025126335e+01 1.580433417027596876e-01
8.291457286432161311e+01 1.578462648087538833e-01
8.542713567839196287e+01 1.575322865975327669e-01
8.793969849246231263e+01 1.573183763647108269e-01
9.045226130653267660e+01 1.571093978826971771e-01
9.296482412060302636e+01 1.569107378339256453e-01
9.547738693467337612e+01 1.566687527295087534e-01
9.798994974874372588e+01 1.565484962280136727e-01
1.005025125628140756e+02 1.563988348598071842e-01
1.030150753768844254e+02 1.561491426351027667e-01
1.055276381909547894e+02 1.559795660305750287e-01
1.080402010050251391e+02 1.559679368937098298e-01
1.105527638190954889e+02 1.558083713656150393e-01
1.130653266331658386e+02 1.556769436613037183e-01
1.155778894472361884e+02 1.554765830217673950e-01
1.180904522613065382e+02 1.554505137763912692e-01
1.206030150753769021e+02 1.553395731571420024e-01
1.231155778894472519e+02 1.552288248601305098e-01
1.256281407035176017e+02 1.551366485639753545e-01
1.281407035175879514e+02 1.550766829223390875e-01
1.306532663316583012e+02 1.549890603418865864e-01
1.331658291457286509e+02 1.548607107551622508e-01
1.356783919597990007e+02 1.548037539043164712e-01
1.381909547738693504e+02 1.547264962214722206e-01
1.407035175879397002e+02 1.546583177708938384e-01
1.432160804020100500e+02 1.545235679944366447e-01
1.457286432160804281e+02 1.545214281187111682e-01
1.482412060301507779e+02 1.544439625072172584e-01
1.507537688442211277e+02 1.544025405890177560e-01
1.532663316582914774e+02 1.543498252614205479e-01
1.557788944723618272e+02 1.542959509057069689e-01
1.582914572864321769e+02 1.541999911398503897e-01
1.608040201005025267e+02 1.541157653279963125e-01
1.633165829145728765e+02 1.541530141220944783e-01
1.658291457286432262e+02 1.540927546976046669e-01
1.683417085427135760e+02 1.540488192439060378e-01
1.708542713567839257e+02 1.540021085403119050e-01
1.733668341708542755e+02 1.539528152481487722e-01
1.758793969849246253e+02 1.539251778999300713e-01
1.783919597989950034e+02 1.538668541287176728e-01
1.809045226130653532e+02 1.538351037039211722e-01
1.834170854271357030e+02 1.537844936485296687e-01
1.859296482412060527e+02 1.537251605194574766e-01
1.884422110552764025e+02 1.537367863654802158e-01
1.909547738693467522e+02 1.536891847389742494e-01
1.934673366834171020e+02 1.536506771599665810e-01
1.959798994974874518e+02 1.535909009072094211e-01
1.984924623115578015e+02 1.536187656760281683e-01
2.010050251256281513e+02 1.535694711249552813e-01
2.035175879396985010e+02 1.535570068121016873e-01
2.060301507537688508e+02 1.534931743857962105e-01
2.085427135678392006e+02 1.534639793956021625e-01
2.110552763819095787e+02 1.534437353879454513e-01
2.135678391959799285e+02 1.534142667894010659e-01
2.160804020100502782e+02 1.533801396654015659e-01
2.185929648241206280e+02 1.533742142134560393e-01
2.211055276381909778e+02 1.533401542182470101e-01
2.236180904522613275e+02 1.533734493483571437e-01
2.261306532663316773e+02 1.533110379364673870e-01
2.286432160804020270e+02 1.532924528275421139e-01
2.311557788944723768e+02 1.532847503673291090e-01
2.336683417085427266e+02 1.532679146500049161e-01
2.361809045226130763e+02 1.532287942374119250e-01
2.386934673366834261e+02 1.532232178371431552e-01
2.412060301507538043e+02 1.531361826643939383e-01
2.437185929648241540e+02 1.531846087277149437e-01
2.462311557788945038e+02 1.532143731606805948e-01
2.487437185929648535e+02 1.531086196201883742e-01
2.512562814070352033e+02 1.531205873603942724e-01
2.537688442211055531e+02 1.531178165247676914e-01
2.562814070351759028e+02 1.530823360682179168e-01
2.587939698492462526e+02 1.530977665364994522e-01
2.613065326633166023e+02 1.530719861383935121e-01
2.638190954773869521e+02 1.530182745429098934e-01
2.663316582914573019e+02 1.530244210734280352e-01
2.688442211055276516e+02 1.530118260718386358e-01
2.713567839195980014e+02 1.530143978171379648e-01
2.738693467336683511e+02 1.530019584388812581e-01
2.763819095477387009e+02 1.530028533436465221e-01
2.788944723618090507e+02 1.529643319701271542e-01
2.814070351758794004e+02 1.529620314731198194e-01
2.839195979899497502e+02 1.529484064551720479e-01
2.864321608040200999e+02 1.529113751300662793e-01
2.889447236180904497e+02 1.529224371351944889e-01
2.914572864321608563e+02 1.529614515426870047e-01
2.939698492462312061e+02 1.528565101571964235e-01
2.964824120603015558e+02 1.528941220938694057e-01
2.989949748743719056e+02 1.528549576223665885e-01
3.015075376884422553e+02 1.528861967285102264e-01
3.040201005025126051e+02 1.527821130197378474e-01
3.065326633165829548e+02 1.528854912541028899e-01
3.090452261306533046e+02 1.528116114742024689e-01
3.115577889447236544e+02 1.528380284654939081e-01
3.140703517587940041e+02 1.528066716047919993e-01
3.165829145728643539e+02 1.528698815356338836e-01
3.190954773869347036e+02 1.528096371909855866e-01
3.216080402010050534e+02 1.527622271336612214e-01
3.241206030150754032e+02 1.527752046146020615e-01
3.266331658291457529e+02 1.527859445310272291e-01
3.291457286432161027e+02 1.527975682409856706e-01
3.316582914572864524e+02 1.527519346236747844e-01
3.341708542713568022e+02 1.527401300129027362e-01
3.366834170854271520e+02 1.527501234318710543e-01
3.391959798994975017e+02 1.527177564174036772e-01
3.417085427135678515e+02 1.527087789818727115e-01
3.442211055276382012e+02 1.526782976278148463e-01
3.467336683417085510e+02 1.527778575678777895e-01
3.492462311557789008e+02 1.527788109157908469e-01
3.517587939698492505e+02 1.526805016207971877e-01
3.542713567839196571e+02 1.527034692400778271e-01
3.567839195979900069e+02 1.527174578936082994e-01
3.592964824120603566e+02 1.527177785552713829e-01
3.618090452261307064e+02 1.526886354016517844e-01
3.643216080402010562e+02 1.527196523312842058e-01
3.668341708542714059e+02 1.526984062226602323e-01
3.693467336683417557e+02 1.526989931905356201e-01
3.718592964824121054e+02 1.526632100411797754e-01
3.743718592964824552e+02 1.526740238313422093e-01
3.768844221105528050e+02 1.526929754781166104e-01
3.793969849246231547e+02 1.526616247735230469e-01
3.819095477386935045e+02 1.526344610133892055e-01
3.844221105527638542e+02 1.526771934860813862e-01
3.869346733668342040e+02 1.526404664053011562e-01
3.894472361809045537e+02 1.526800105425431542e-01
3.919597989949749035e+02 1.526180777918396680e-01
3.944723618090452533e+02 1.526396634497790283e-01
3.969849246231156030e+02 1.526304161463991893e-01
3.994974874371859528e+02 1.526371445481978784e-01
4.020100502512563025e+02 1.526183490126256370e-01
4.045226130653266523e+02 1.526797711106473721e-01
4.070351758793970021e+02 1.526257165635978297e-01
4.095477386934673518e+02 1.526682546006648267e-01
4.120603015075377016e+02 1.526269465936324066e-01
4.145728643216080513e+02 1.525964962336627262e-01
4.170854271356784011e+02 1.526201620771426015e-01
4.195979899497488077e+02 1.525694874073892648e-01
4.221105527638191575e+02 1.526476088679151744e-01
4.246231155778895072e+02 1.526052263978083245e-01
4.271356783919598570e+02 1.526221153188477841e-01
4.296482412060302067e+02 1.526028485796824263e-01
4.321608040201005565e+02 1.526160567786588318e-01
4.346733668341709063e+02 1.525755323486741311e-01
4.371859296482412560e+02 1.525974841443319130e-01
4.396984924623116058e+02 1.526046830544151578e-01
4.422110552763819555e+02 1.525872319705912084e-01
4.447236180904523053e+02 1.526360877977021024e-01
4.472361809045226551e+02 1.525628297050609095e-01
4.497487437185930048e+02 1.525905224211704103e-01
4.522613065326633546e+02 1.526286981147677579e-01
4.547738693467337043e+02 1.525613847883565410e-01
4.572864321608040541e+02 1.525660973033535206e-01
4.597989949748744039e+02 1.525849243580559844e-01
4.623115577889447536e+02 1.525599473833421094e-01
4.648241206030151034e+02 1.525688408327281198e-01
4.673366834170854531e+02 1.525288100987705897e-01
4.698492462311558029e+02 1.525944559704447978e-01
4.723618090452261526e+02 1.526185995805586226e-01
4.748743718592965024e+02 1.525592841897817631e-01
4.773869346733668522e+02 1.526147867736838137e-01
4.798994974874372019e+02 1.525566435675213273e-01
4.824120603015076085e+02 1.525593213436487461e-01
4.849246231155779583e+02 1.525318621169398370e-01
4.874371859296483080e+02 1.525338706346974216e-01
4.899497487437186578e+02 1.525376526461836857e-01
4.924623115577890076e+02 1.525360694870222522e-01
4.949748743718593573e+02 1.525047108003799168e-01
4.974874371859297071e+02 1.525450962185934956e-01
5.000000000000000000e+02 1.526552024223767345e-01
