# z_nm potential_V
-2.000000000000000000e+02 0.000000000000000000e+00
-1.979899497487437259e+02 3.573579370507130117e-05
-1.959798994974874518e+02 7.147158741014260233e-05
-1.939698492462311492e+02 1.074850907867921517e-04
-1.919597989949748751e+02 1.439465276967797128e-04
-1.899497487437186010e+02 1.804079646067673146e-04
-1.879396984924622984e+02 2.180090042018731627e-04
-1.859296482412060243e+02 2.560670487984034282e-04
-1.839195979899497502e+02 2.942318158951898925e-04
-1.819095477386934760e+02 3.347940035629451525e-04
-1.798994974874372019e+02 3.753561912307004124e-04
-1.778894472361808994e+02 4.170186636031049865e-04
-1.758793969849246253e+02 4.601919203696780251e-04
-1.738693467336683511e+02 5.033651771362510638e-04
-1.718592964824120486e+02 5.500186509721961695e-04
-1.698492462311557745e+02 5.973340851273612525e-04
-1.678391959798995003e+02 6.459509790260593940e-04
-1.658291457286432262e+02 6.981901568018242460e-04
-1.638190954773869521e+02 7.504293345775892065e-04
-1.618090452261306496e+02 8.069624055070771795e-04
-1.597989949748743754e+02 8.653211054591553562e-04
-1.577889447236181013e+02 9.236798054112333161e-04
-1.557788944723617988e+02 9.889726612801754378e-04
-1.537688442211055246e+02 1.054459743505450344e-03
-1.517587939698492505e+02 1.123129487963133496e-03
-1.497487437185929764e+02 1.197011126134718334e-03
-1.477386934673367023e+02 1.270892764306303605e-03
-1.457286432160803997e+02 1.352349818529854008e-03
-1.437185929648241256e+02 1.437266003513338686e-03
-1.417085427135678515e+02 1.522811551321282680e-03
-1.396984924623115489e+02 1.620896493412181047e-03
-1.376884422110552748e+02 1.718981435503078112e-03
-1.356783919597990007e+02 1.821498230431029246e-03
-1.336683417085427266e+02 1.930654968705207593e-03
-1.316582914572864524e+02 2.039811706979385939e-03
-1.296482412060301499e+02 2.163668707107515871e-03
-1.276381909547738758e+02 2.290772709451913830e-03
-1.256281407035176017e+02 2.422540170405572835e-03
-1.236180904522613133e+02 2.568331308840318423e-03
-1.216080402010050250e+02 2.714122447275064010e-03
-1.195979899497487509e+02 2.875982156418632404e-03
-1.175879396984924767e+02 3.044866927311355113e-03
-1.155778894472361884e+02 3.213751698204078688e-03
-1.135678391959799001e+02 3.408498453534047814e-03
-1.115577889447236259e+02 3.604545726642866335e-03
-1.095477386934673518e+02 3.812819820351810631e-03
-1.075376884422110635e+02 4.041063880050247206e-03
-1.055276381909547752e+02 4.269307939748682480e-03
-1.035175879396985010e+02 4.524868790884323776e-03
-1.015075376884422269e+02 4.794165497269053597e-03
-9.949748743718593857e+01 5.065356778817444589e-03
-9.748743718592965024e+01 5.370838826202069607e-03
-9.547738693467337612e+01 5.676320873586693759e-03
-9.346733668341710199e+01 6.002580648896168984e-03
-9.145728643216081366e+01 6.362860071987995990e-03
-8.944723618090452533e+01 6.723139495079822996e-03
-8.743718592964825120e+01 7.127528286081601279e-03
-8.542713567839197708e+01 7.549111265151816144e-03
-8.341708542713568875e+01 7.978007343057008649e-03
-8.140703517587940041e+01 8.478277594247053683e-03
-7.939698492462312629e+01 8.978547845437096983e-03
-7.738693467336685217e+01 9.513352960491390509e-03
-7.537688442211056383e+01 1.008110883340381132e-02
-7.336683417085427550e+01 1.064886470631623040e-02
-7.135678391959800138e+01 1.131729611156047019e-02
-6.934673366834172725e+01 1.199248314247102973e-02
-6.733668341708545313e+01 1.271615031432075937e-02
-6.532663316582915058e+01 1.351994585703864514e-02
-6.331658291457287646e+01 1.432374139975652050e-02
-6.130653266331660234e+01 1.523030981654877568e-02
-5.929648241206029979e+01 1.619361639481352311e-02
-5.728643216080402567e+01 1.716768508929974665e-02
-5.527638190954775155e+01 1.832431525278420056e-02
-5.326633165829147742e+01 1.948094541626865794e-02
-5.125628140703520330e+01 2.073352791434131259e-02
-4.924623115577890076e+01 2.216280658024916139e-02
-4.723618090452262663e+01 2.359208524615699631e-02
-4.522613065326635251e+01 2.519288912679600381e-02
-4.321608040201004997e+01 2.686113843450754074e-02
-4.120603015075377584e+01 2.855872580400964020e-02
-3.919597989949750172e+01 3.067357620578926511e-02
-3.718592964824122760e+01 3.278842660756888655e-02
-3.517587939698495347e+01 3.516729944307186301e-02
-3.316582914572865093e+01 3.782709935862878237e-02
-3.115577889447237681e+01 4.048689927418566009e-02
-2.914572864321610268e+01 4.383880502638574927e-02
-2.713567839195980014e+01 4.725328632248437105e-02
-2.512562814070352601e+01 5.109388756569471085e-02
-2.311557788944725189e+01 5.554258244147024237e-02
-2.110552763819097777e+01 6.034999080356065471e-02
-1.909547738693470365e+01 6.611550906354894674e-02
-1.708542713567840110e+01 7.273549678762840365e-02
-1.507537688442212698e+01 8.031932966916163763e-02
-1.306532663316585285e+01 8.965437703201262210e-02
-1.105527638190955031e+01 1.014092582513919233e-01
-9.045226130653276186e+00 1.176391934276728862e-01
-7.035175879397002063e+00 1.411163503124729379e-01
-5.025125628140727940e+00 1.858331032289924634e-01
-3.015075376884453817e+00 2.723728457496796818e-01
-1.005025125628151272e+00 3.617527037961154046e-01
1.005025125628122851e+00 5.889834129239983618e-01
3.015075376884396974e+00 9.587140842371261185e-01
5.025125628140699519e+00 1.345220618914352517e+00
7.035175879396973642e+00 1.766537904253769886e+00
