# z_nm potential_V
-2.000000000000000000e+02 0.000000000000000000e+00
-1.979899497487437259e+02 3.711691421628774410e-05
-1.959798994974874518e+02 7.423382843257548820e-05
-1.939698492462311492e+02 1.116373782413042598e-04
-1.919597989949748751e+02 1.495032587026634530e-04
-1.899497487437186010e+02 1.873691391640226734e-04
-1.879396984924622984e+02 2.264111681074008951e-04
-1.859296482412060243e+02 2.659248576968266582e-04
-1.839195979899497502e+02 3.055486788982712007e-04
-1.819095477386934760e+02 3.476465031593710593e-04
-1.798994974874372019e+02 3.897443274204709178e-04
-1.778894472361808994e+02 4.329776173211654028e-04
-1.758793969849246253e+02 4.777699980291439329e-04
-1.738693467336683511e+02 5.225623787371223546e-04
-1.718592964824120486e+02 5.709456257798816922e-04
-1.698492462311557745e+02 6.200118793644357170e-04
-1.678391959798995003e+02 6.704208297810721091e-04
-1.658291457286432262e+02 7.245668370761924881e-04
-1.638190954773869521e+02 7.787128443713128671e-04
-1.618090452261306496e+02 8.372880694235270913e-04
-1.597989949748743754e+02 8.977464592856782217e-04
-1.577889447236181013e+02 9.582048491478295689e-04
-1.557788944723617988e+02 1.025814812295086772e-03
-1.537688442211055246e+02 1.093625091679513569e-03
-1.517587939698492505e+02 1.164717211428727183e-03
-1.497487437185929764e+02 1.241183637943230446e-03
-1.477386934673367023e+02 1.317650064457733276e-03
-1.457286432160803997e+02 1.401926448958441557e-03
-1.437185929648241256e+02 1.489769062128117050e-03
-1.417085427135678515e+02 1.578260360296802976e-03
-1.396984924623115489e+02 1.679676026813772078e-03
-1.376884422110552748e+02 1.781091693330740097e-03
-1.356783919597990007e+02 1.887075092764682865e-03
-1.336683417085427266e+02 1.999902015416687041e-03
-1.316582914572864524e+02 2.112728938068690783e-03
-1.296482412060301499e+02 2.240703108617078144e-03
-1.276381909547738758e+02 2.372023011913532240e-03
-1.256281407035176017e+02 2.508147379513253356e-03
-1.236180904522613133e+02 2.658719448594577643e-03
-1.216080402010050250e+02 2.809291517675902797e-03
-1.195979899497487509e+02 2.976416150629261192e-03
-1.175879396984924767e+02 3.150777443607646281e-03
-1.155778894472361884e+02 3.325138736586032671e-03
-1.135678391959799001e+02 3.526138458099082381e-03
-1.115577889447236259e+02 3.728477742320244776e-03
-1.095477386934673518e+02 3.943409906185335254e-03
-1.075376884422110635e+02 4.178909917279358989e-03
-1.055276381909547752e+02 4.414409928373383592e-03
-1.035175879396985010e+02 4.678041390574105146e-03
-1.015075376884422269e+02 4.955818347908714713e-03
-9.949748743718593857e+01 5.235546927895743524e-03
-9.748743718592965024e+01 5.550598801810841150e-03
-9.547738693467337612e+01 5.865650675725934439e-03
-9.346733668341710199e+01 6.202103529502829213e-03
-9.145728643216081366e+01 6.573596489672916057e-03
-8.944723618090452533e+01 6.945089449843004636e-03
-8.743718592964825120e+01 7.362027109525294370e-03
-8.542713567839197708e+01 7.796679480325674136e-03
-8.341708542713568875e+01 8.238867523728585218e-03
-8.140703517587940041e+01 8.754602009520400310e-03
-7.939698492462312629e+01 9.270336495312213668e-03
-7.738693467336685217e+01 9.821681455914228753e-03
-7.537688442211056383e+01 1.040700344730160348e-02
-7.336683417085427550e+01 1.099232543868897995e-02
-7.135678391959800138e+01 1.168147764679742552e-02
-6.934673366834172725e+01 1.237759716921525525e-02
-6.733668341708545313e+01 1.312374858107244642e-02
-6.532663316582915058e+01 1.395259310632759181e-02
-6.331658291457287646e+01 1.478143763158272506e-02
-6.130653266331660234e+01 1.571644489846517334e-02
-5.929648241206029979e+01 1.671006178224375069e-02
-5.728643216080402567e+01 1.771480789875589171e-02
-5.527638190954775155e+01 1.890834300758619316e-02
-5.326633165829147742e+01 2.010187811641649461e-02
-5.125628140703520330e+01 2.139477023436390027e-02
-4.924623115577890076e+01 2.287062822629346362e-02
-4.723618090452262663e+01 2.434648621822301309e-02
-4.522613065326635251e+01 2.600024414513292872e-02
-4.321608040201004997e+01 2.772395410276749100e-02
-4.120603015075377584e+01 2.947814924327973873e-02
-3.919597989949750172e+01 3.166592244146620994e-02
-3.718592964824122760e+01 3.385369563965268114e-02
-3.517587939698495347e+01 3.631650102439710343e-02
-3.316582914572865093e+01 3.907194816689284200e-02
-3.115577889447237681e+01 4.182739530938853201e-02
-2.914572864321610268e+01 4.530591190171268795e-02
-2.713567839195980014e+01 4.884980355909754324e-02
-2.512562814070352601e+01 5.284028973245603888e-02
-2.311557788944725189e+01 5.746808773161108524e-02
-2.110552763819097777e+01 6.247327910353380614e-02
-1.909547738693470365e+01 6.848647363018704748e-02
-1.708542713567840110e+01 7.540260407329106573e-02
-1.507537688442212698e+01 8.333837499797824844e-02
-1.306532663316585285e+01 9.313488394628959000e-02
-1.105527638190955031e+01 1.055199198151536982e-01
-9.045226130653276186e+00 1.227335737279438427e-01
-7.035175879397002063e+00 1.478110393570939984e-01
-5.025125628140727940e+00 1.948101095906312474e-01
-3.015075376884453817e+00 2.808101561048625960e-01
-1.005025125628151272e+00 3.696526092432163568e-01
1.005025125628122851e+00 5.957223439294656586e-01
3.015075376884396974e+00 9.636349008798200666e-01
5.025125628140699519e+00 1.348291657046609693e+00
7.035175879396973642e+00 1.767628456287569705e+00
