Htip(nm),ring_radius(nm)
1.350000000000000000e+01,nan
1.349099999999999966e+01,nan
1.346400000000000041e+01,nan
1.341900000000000048e+01,nan
1.335599999999999987e+01,nan
1.327500000000000036e+01,nan
1.317600000000000016e+01,nan
1.305899999999999928e+01,nan
1.292399999999999949e+01,4.093085387385198892e+00
1.277100000000000080e+01,5.909747082724696732e+00
1.259999999999999964e+01,7.413303120810368796e+00
1.241099999999999959e+01,8.786427795791034612e+00
1.220400000000000063e+01,1.008674291712078031e+01
1.197899999999999920e+01,1.133837330584236724e+01
1.173600000000000065e+01,1.254777743068137497e+01
1.147499999999999964e+01,1.371198221262419636e+01
1.119599999999999973e+01,1.484176281084138083e+01
1.089899999999999913e+01,1.596518883917811849e+01
1.058399999999999963e+01,1.709145052800368347e+01
1.025099999999999945e+01,1.820662279102622350e+01
9.900000000000000355e+00,1.930552708987535482e+01
9.531000000000000583e+00,2.039416110902453738e+01
9.144000000000000128e+00,2.147942160031614023e+01
8.739000000000000767e+00,2.255811937043035087e+01
8.316000000000000725e+00,2.363548563026246896e+01
7.875000000000000000e+00,2.470914288968022987e+01
7.416000000000000369e+00,2.578370836571031077e+01
6.939000000000000057e+00,2.688676260144962527e+01
6.443999999999999950e+00,2.798899715520671805e+01
5.931000000000000050e+00,2.909134343797692424e+01
5.400000000000000355e+00,3.021136788966981968e+01
4.850999999999999979e+00,3.136099756695692164e+01
4.283999999999999808e+00,3.252869565724251544e+01
3.698999999999999844e+00,3.375078396838929251e+01
3.096000000000000085e+00,3.501469691120568228e+01
