Htip(nm),ring_radius(nm)
1.359990999999999950e+01,7.220229185344958500e-01
1.358910999999999980e+01,7.867006811188886894e-01
1.356030999999999942e+01,9.612170954465838468e-01
1.351351000000000013e+01,1.251478876550346842e+00
1.344871000000000016e+01,1.668318634827358649e+00
1.336590999999999951e+01,2.230141230808833086e+00
1.326510999999999996e+01,2.968789510876175264e+00
1.314630999999999972e+01,3.944414364203788992e+00
1.300951000000000057e+01,5.295142437840878458e+00
1.285471000000000075e+01,6.939051525697246703e+00
1.268191000000000024e+01,8.173291747963311593e+00
1.249111000000000082e+01,9.193818492362002104e+00
1.228231000000000073e+01,1.020369216171770432e+01
1.205550999999999995e+01,1.128757959480410378e+01
1.181071000000000026e+01,1.246773549996851038e+01
1.154790999999999990e+01,1.372298475223178293e+01
1.126711000000000062e+01,1.487678515679378854e+01
1.096831000000000067e+01,1.586360844499494505e+01
1.065151000000000003e+01,1.679697448582257380e+01
1.031671000000000049e+01,1.776970684770750353e+01
9.963910000000000267e+00,1.883377820015008908e+01
9.593109999999999360e+00,1.990630787866097151e+01
9.204309999999999548e+00,2.087636000939362546e+01
8.797510000000000829e+00,2.179348045893929608e+01
8.372709999999999653e+00,2.272462495603984323e+01
7.929909999999999570e+00,2.370248101354368941e+01
7.469109999999999694e+00,2.469296705282181748e+01
6.990310000000000024e+00,2.566330780947952306e+01
6.493509999999999671e+00,2.660051656159505384e+01
5.978710000000000413e+00,2.753419185245113354e+01
5.445909999999999584e+00,2.846308756050002842e+01
4.895109999999999850e+00,2.943641156514380697e+01
4.326310000000000322e+00,3.028490712049785927e+01
3.739510000000000112e+00,3.160426849566548313e+01
