Vtip(V),ring_radius(nm)
2.700000000000000178e+00,6.538232209315460786e+00
2.702599999999999891e+00,6.631032578464234106e+00
2.710399999999999920e+00,6.897923289401449942e+00
2.723399999999999821e+00,7.304684280874424118e+00
2.741600000000000037e+00,7.802311211251731216e+00
2.765000000000000124e+00,8.358388590410541497e+00
2.793600000000000083e+00,8.966083766388017295e+00
2.827399999999999913e+00,9.628244429340238497e+00
2.866400000000000059e+00,1.035668586004471869e+01
2.910600000000000076e+00,1.116178359101053985e+01
2.959999999999999964e+00,1.204328037334259172e+01
3.014600000000000168e+00,1.300133191993739601e+01
3.074399999999999800e+00,1.399759512318482102e+01
3.139400000000000190e+00,1.495241437996001466e+01
3.209600000000000009e+00,1.583029449947581746e+01
3.285000000000000142e+00,1.668105834771222007e+01
3.365600000000000147e+00,1.756360797014562181e+01
3.451400000000000023e+00,1.852923506178223789e+01
3.542400000000000215e+00,1.953248205825202177e+01
3.638599999999999834e+00,2.048589646499170058e+01
3.740000000000000213e+00,2.137970872748262963e+01
3.846600000000000019e+00,2.226693421868020195e+01
3.958400000000000141e+00,2.319817794352648832e+01
4.075400000000000134e+00,2.417979801897084258e+01
4.197600000000000442e+00,2.516622133015396301e+01
4.325000000000000178e+00,2.612079285530754547e+01
4.457600000000000229e+00,2.706150729469987581e+01
4.595399999999999707e+00,2.801615466041942426e+01
4.738400000000000389e+00,2.899000571750842781e+01
4.886599999999999611e+00,2.995197779127805759e+01
5.040000000000000036e+00,3.087560356994709565e+01
5.198599999999999888e+00,3.177685489705250887e+01
5.362400000000000055e+00,3.268687391759833361e+01
5.531399999999999650e+00,3.363080704915340391e+01
5.705599999999999561e+00,3.459393164453393155e+01
5.884999999999999787e+00,3.554569497844407522e+01
