# r_nm potential_V
0.000000000000000000e+00 2.742529409190724299e-01
2.512562814070351980e+00 2.711681920946690250e-01
5.025125628140703959e+00 2.688452677702719007e-01
7.537688442211056383e+00 2.667958753749155587e-01
1.005025125628140792e+01 2.632558881796847605e-01
1.256281407035175945e+01 2.595330535387589399e-01
1.507537688442211277e+01 2.557328224177807807e-01
1.758793969849246253e+01 2.508753925441616350e-01
2.010050251256281584e+01 2.464476761243342973e-01
2.261306532663316915e+01 2.413779211910799527e-01
2.512562814070351891e+01 2.368385286403584811e-01
2.763819095477387222e+01 2.322598460365358219e-01
3.015075376884422553e+01 2.279432762871413665e-01
3.266331658291457529e+01 2.235391311181091911e-01
3.517587939698492505e+01 2.196044665387545392e-01
3.768844221105528192e+01 2.157708279901636717e-01
4.020100502512563168e+01 2.121461926540823273e-01
4.271356783919598143e+01 2.089271636114463093e-01
4.522613065326633830e+01 2.056232085965252754e-01
4.773869346733668806e+01 2.029879168015280566e-01
5.025125628140703782e+01 2.003395559381321023e-01
5.276381909547739468e+01 1.979154342559234503e-01
5.527638190954774444e+01 1.956072935043927097e-01
5.778894472361809420e+01 1.934839055441282263e-01
6.030150753768845107e+01 1.916810790125212383e-01
6.281407035175880083e+01 1.898366712824207936e-01
6.532663316582915058e+01 1.882328944878048083e-01
6.783919597989950034e+01 1.866317443614876059e-01
7.035175879396985010e+01 1.851912982719625400e-01
7.286432160804021407e+01 1.838299923603147201e-01
7.537688442211056383e+01 1.827083794487683599e-01
7.788944723618091359e+01 1.815077652629737692e-01
8.040201005025126335e+01 1.804989785673948854e-01
8.291457286432161311e+01 1.796139654724175083e-01
8.542713567839196287e+01 1.786026539151505665e-01
8.793969849246231263e+01 1.777691272724361560e-01
9.045226130653267660e+01 1.769700217194508929e-01
9.296482412060302636e+01 1.762230112454277187e-01
9.547738693467337612e+01 1.754351459739769969e-01
9.798994974874372588e+01 1.748438298509821243e-01
1.005025125628140756e+02 1.742366752525448537e-01
1.030150753768844254e+02 1.735134345103816478e-01
1.055276381909547894e+02 1.729172829807413270e-01
1.080402010050251391e+02 1.725454509316920737e-01
1.105527638190954889e+02 1.719989999601103103e-01
1.130653266331658386e+02 1.715055306495549825e-01
1.155778894472361884e+02 1.709436184915983925e-01
1.180904522613065382e+02 1.706167957977710592e-01
1.206030150753769021e+02 1.701960444534570682e-01
1.231155778894472519e+02 1.697878011358794348e-01
1.256281407035176017e+02 1.694149447401154807e-01
1.281407035175879514e+02 1.690918509686324678e-01
1.306532663316583012e+02 1.687458680712404790e-01
1.331658291457286509e+02 1.683625868397258529e-01
1.356783919597990007e+02 1.680713013101485798e-01
1.381909547738693504e+02 1.677668251187509341e-01
1.407035175879397002e+02 1.674816219301296372e-01
1.432160804020100500e+02 1.671273551367909727e-01
1.457286432160804281e+02 1.669321651422989994e-01
1.482412060301507779e+02 1.666581418578484408e-01
1.507537688442211277e+02 1.664335582628727050e-01
1.532663316582914774e+02 1.662027560232383905e-01
1.557788944723618272e+02 1.659771403851760252e-01
1.582914572864321769e+02 1.657101510431217006e-01
1.608040201005025267e+02 1.654590512373899924e-01
1.633165829145728765e+02 1.653516691422470264e-01
1.658291457286432262e+02 1.651402556186778448e-01
1.683417085427135760e+02 1.649504570216364929e-01
1.708542713567839257e+02 1.647631945198185510e-01
1.733668341708542755e+02 1.645776858862832148e-01
1.758793969849246253e+02 1.644203990848946972e-01
1.783919597989950034e+02 1.642342120610179590e-01
1.809045226130653532e+02 1.640796067193582841e-01
1.834170854271357030e+02 1.639086967437800857e-01
1.859296482412060527e+02 1.637322316412621881e-01
1.884422110552764025e+02 1.636356981274468547e-01
1.909547738693467522e+02 1.634790388284302343e-01
1.934673366834171020e+02 1.633336798336122997e-01
1.959798994974874518e+02 1.631700800055518319e-01
1.984924623115578015e+02 1.631030710610487100e-01
2.010050251256281513e+02 1.629561488406215952e-01
2.035175879396985010e+02 1.628509600051939732e-01
2.060301507537688508e+02 1.626930330203372743e-01
2.085427135678392006e+02 1.625761079146584576e-01
2.110552763819095787e+02 1.624698114030164176e-01
2.135678391959799285e+02 1.623576723757579887e-01
2.160804020100502782e+02 1.622407476986475749e-01
2.185929648241206280e+02 1.621561512342192257e-01
2.211055276381909778e+02 1.620453866254886466e-01
2.236180904522613275e+02 1.620063541009551245e-01
2.261306532663316773e+02 1.618708826592217542e-01
2.286432160804020270e+02 1.617824493298778143e-01
2.311557788944723768e+02 1.617074870058341496e-01
2.336683417085427266e+02 1.616247554476950288e-01
2.361809045226130763e+02 1.615211705617228266e-01
2.386934673366834261e+02 1.614535097427212684e-01
2.412060301507538043e+02 1.613029780271842684e-01
2.437185929648241540e+02 1.612927959021938362e-01
2.462311557788945038e+02 1.612665536435574642e-01
2.487437185929648535e+02 1.611025082522544727e-01
2.512562814070352033e+02 1.610597391533729328e-01
2.537688442211055531e+02 1.610028011696485739e-01
2.562814070351759028e+02 1.609150268460966537e-01
2.587939698492462526e+02 1.608801129314241518e-01
2.613065326633166023e+02 1.608045948979240081e-01
2.638190954773869521e+02 1.607023844937486567e-01
2.663316582914573019e+02 1.606622287859004183e-01
2.688442211055276516e+02 1.606046162149283030e-01
2.713567839195980014e+02 1.605616775722020773e-01
2.738693467336683511e+02 1.605046766666430036e-01
2.763819095477387009e+02 1.604645079298394339e-01
2.788944723618090507e+02 1.603851293133781164e-01
2.814070351758794004e+02 1.603429027039431354e-01
2.839195979899497502e+02 1.602900142836266306e-01
2.864321608040200999e+02 1.602148450986702333e-01
2.889447236180904497e+02 1.601888294447009753e-01
2.914572864321608563e+02 1.601911687588004340e-01
2.939698492462312061e+02 1.600528705780842054e-01
2.964824120603015558e+02 1.600573061412447484e-01
2.989949748743719056e+02 1.599850980390949140e-01
3.015075376884422553e+02 1.599825880669203948e-01
3.040201005025126051e+02 1.598468183372211693e-01
3.065326633165829548e+02 1.599182649456297456e-01
3.090452261306533046e+02 1.598151588907869847e-01
3.115577889447236544e+02 1.598138362336596063e-01
3.140703517587940041e+02 1.597530700656118186e-01
3.165829145728643539e+02 1.597881656433677855e-01
3.190954773869347036e+02 1.597006419719280979e-01
3.216080402010050534e+02 1.596269543478989195e-01
3.241206030150754032e+02 1.596147113949495933e-01
3.266331658291457529e+02 1.595993847324338466e-01
3.291457286432161027e+02 1.595877284620237646e-01
3.316582914572864524e+02 1.595181637274953046e-01
3.341708542713568022e+02 1.594796580120741991e-01
3.366834170854271520e+02 1.594674792334450086e-01
3.391959798994975017e+02 1.594151831533787977e-01
3.417085427135678515e+02 1.593854393068533382e-01
3.442211055276382012e+02 1.593348656292181975e-01
3.467336683417085510e+02 1.594137560499021000e-01
3.492462311557789008e+02 1.593968393038826536e-01
3.517587939698492505e+02 1.592815803509153860e-01
3.542713567839196571e+02 1.592847051387077106e-01
3.567839195979900069e+02 1.592799135697262336e-01
3.592964824120603566e+02 1.592635196035282474e-01
3.618090452261307064e+02 1.592175138258741518e-01
3.643216080402010562e+02 1.592313821676269447e-01
3.668341708542714059e+02 1.591944510661445211e-01
3.693467336683417557e+02 1.591785730860724724e-01
3.718592964824121054e+02 1.591284432015402373e-01
3.743718592964824552e+02 1.591239479722908190e-01
3.768844221105528050e+02 1.591279442157925994e-01
3.793969849246231547e+02 1.590843153104797292e-01
3.819095477386935045e+02 1.590444754309889575e-01
3.844221105527638542e+02 1.590729607573923565e-01
3.869346733668342040e+02 1.590247768424365715e-01
3.894472361809045537e+02 1.590517800815955118e-01
3.919597989949749035e+02 1.589773958856967873e-01
3.944723618090452533e+02 1.589849633924472760e-01
3.969849246231156030e+02 1.589642502805303226e-01
3.994974874371859528e+02 1.589614406467180496e-01
4.020100502512563025e+02 1.589338556499751698e-01
4.045226130653266523e+02 1.589850400173274947e-01
4.070351758793970021e+02 1.589233264023045267e-01
4.095477386934673518e+02 1.589539210568774452e-01
4.120603015075377016e+02 1.589036481797996558e-01
4.145728643216080513e+02 1.588646232795195845e-01
4.170854271356784011e+02 1.588777338725665955e-01
4.195979899497488077e+02 1.588200630013856529e-01
4.221105527638191575e+02 1.588902209745820804e-01
4.246231155778895072e+02 1.588421737583048388e-01
4.271356783919598570e+02 1.588506394787088105e-01
4.296482412060302067e+02 1.588247871807180467e-01
4.321608040201005565e+02 1.588298293696354113e-01
4.346733668341709063e+02 1.587844434617213529e-01
4.371859296482412560e+02 1.588013595628625374e-01
4.396984924623116058e+02 1.588033658364363387e-01
4.422110552763819555e+02 1.587807737717537582e-01
4.447236180904523053e+02 1.588221472520554844e-01
4.472361809045226551e+02 1.587445471254492479e-01
4.497487437185930048e+02 1.587684724018523230e-01
4.522613065326633546e+02 1.588009343484011460e-01
4.547738693467337043e+02 1.587300196371417005e-01
4.572864321608040541e+02 1.587314594377940424e-01
4.597989949748744039e+02 1.587463571075374280e-01
4.623115577889447536e+02 1.587184162986189639e-01
4.648241206030151034e+02 1.587228484043469445e-01
4.673366834170854531e+02 1.586798902983447002e-01
4.698492462311558029e+02 1.587412030958893494e-01
4.723618090452261526e+02 1.587632272339436768e-01
4.748743718592965024e+02 1.587037356263923116e-01
4.773869346733668522e+02 1.587557554765234580e-01
4.798994974874372019e+02 1.586958512382369291e-01
4.824120603015076085e+02 1.586936955454162634e-01
4.849246231155779583e+02 1.586641744920820329e-01
4.874371859296483080e+02 1.586634085167090980e-01
4.899497487437186578e+02 1.586671657417553227e-01
4.924623115577890076e+02 1.586662944994308155e-01
4.949748743718593573e+02 1.586341509826654228e-01
4.974874371859297071e+02 1.586725717006614855e-01
5.000000000000000000e+02 1.587801135679947351e-01
