# r_nm potential_V
0.000000000000000000e+00 1.939837820616240327e-01
2.512562814070351980e+00 1.930140082432661996e-01
5.025125628140703959e+00 1.922541391175022485e-01
7.537688442211056383e+00 1.915621475633242921e-01
1.005025125628140792e+01 1.904024490937212266e-01
1.256281407035175945e+01 1.891679322306381583e-01
1.507537688442211277e+01 1.879013869439286888e-01
1.758793969849246253e+01 1.862615503929354599e-01
2.010050251256281584e+01 1.847573053567909684e-01
2.261306532663316915e+01 1.830567113820034120e-01
2.512562814070351891e+01 1.815166886546473457e-01
2.763819095477387222e+01 1.799522012552038641e-01
3.015075376884422553e+01 1.784993407914121644e-01
3.266331658291457529e+01 1.769938834782856518e-01
3.517587939698492505e+01 1.756717184938592358e-01
3.768844221105528192e+01 1.743675072861193276e-01
4.020100502512563168e+01 1.731352347528471725e-01
4.271356783919598143e+01 1.720807253671531034e-01
4.522613065326633830e+01 1.709566229911989033e-01
4.773869346733668806e+01 1.701220744625420167e-01
5.025125628140703782e+01 1.692612404590600472e-01
5.276381909547739468e+01 1.684841447617315968e-01
5.527638190954774444e+01 1.677455885228342491e-01
5.778894472361809420e+01 1.670642641033706355e-01
6.030150753768845107e+01 1.665353320290181849e-01
6.281407035175880083e+01 1.659515677351842688e-01
6.532663316582915058e+01 1.654756940145624966e-01
6.783919597989950034e+01 1.649679424641955217e-01
7.035175879396985010e+01 1.645254271369519516e-01
7.286432160804021407e+01 1.640957245583179458e-01
7.537688442211056383e+01 1.637899439743875085e-01
7.788944723618091359e+01 1.634159440862283652e-01
8.040201005025126335e+01 1.631380524201257454e-01
8.291457286432161311e+01 1.629229821910448961e-01
8.542713567839196287e+01 1.625959250394256317e-01
8.793969849246231263e+01 1.623676001462397434e-01
9.045226130653267660e+01 1.621449591045037164e-01
9.296482412060302636e+01 1.619342018515046722e-01
9.547738693467337612e+01 1.616833028557359553e-01
9.798994974874372588e+01 1.615516813409707542e-01
1.005025125628140756e+02 1.613909964453195123e-01
1.030150753768844254e+02 1.611331084918745937e-01
1.055276381909547894e+02 1.609562141913499222e-01
1.080402010050251391e+02 1.609336274217281482e-01
1.105527638190954889e+02 1.607672174692117151e-01
1.130653266331658386e+02 1.606284552951403322e-01
1.155778894472361884e+02 1.604236725984355960e-01
1.180904522613065382e+02 1.603890453761446233e-01
1.206030150753769021e+02 1.602718967789315274e-01
1.231155778894472519e+02 1.601560705231604154e-01
1.256281407035176017e+02 1.600588005177688011e-01
1.281407035175879514e+02 1.599930568172341916e-01
1.306532663316583012e+02 1.599007052774355786e-01
1.331658291457286509e+02 1.597688494809459403e-01
1.356783919597990007e+02 1.597066990716638768e-01
1.381909547738693504e+02 1.596250591449099865e-01
