# z_nm potential_V
-2.000000000000000000e+02 0.000000000000000000e+00
-1.979899497487437259e+02 3.931890427641600034e-05
-1.959798994974874518e+02 7.863780855283200068e-05
-1.939698492462311492e+02 1.182284469833458921e-04
-1.919597989949748751e+02 1.582573806992991245e-04
-1.899497487437186010e+02 1.982863144152523433e-04
-1.879396984924622984e+02 2.394837810541611235e-04
-1.859296482412060243e+02 2.811498543373796644e-04
-1.839195979899497502e+02 3.229270913968889517e-04
-1.819095477386934760e+02 3.672015181154335284e-04
-1.798994974874372019e+02 4.114759448339780508e-04
-1.778894472361808994e+02 4.569042642734357645e-04
-1.758793969849246253e+02 5.039169764686354195e-04
-1.738693467336683511e+02 5.509296886638349660e-04
-1.718592964824120486e+02 6.016029273433580460e-04
-1.698492462311557745e+02 6.529724223861408565e-04
-1.678391959798995003e+02 7.057140911349672752e-04
-1.658291457286432262e+02 7.622748581821733958e-04
-1.638190954773869521e+02 8.188356252293794079e-04
-1.618090452261306496e+02 8.799286982600766941e-04
-1.597989949748743754e+02 9.429487659891738760e-04
-1.577889447236181013e+02 1.005968833718270949e-03
-1.557788944723617988e+02 1.076311443169536376e-03
-1.537688442211055246e+02 1.146859157699897484e-03
-1.517587939698492505e+02 1.220767921203230440e-03
-1.497487437185929764e+02 1.300180702643488053e-03
-1.477386934673367023e+02 1.379593484083745884e-03
-1.457286432160803997e+02 1.467003995707034112e-03
-1.437185929648241256e+02 1.558066477637431654e-03
-1.417085427135678515e+02 1.649792994083402586e-03
-1.396984924623115489e+02 1.754749701898590574e-03
-1.376884422110552748e+02 1.859706409713777478e-03
-1.356783919597990007e+02 1.969337073461884403e-03
-1.336683417085427266e+02 2.085970407140246355e-03
-1.316582914572864524e+02 2.202603740818608307e-03
-1.296482412060301499e+02 2.334727623681033884e-03
-1.276381909547738758e+02 2.470273067875602968e-03
-1.256281407035176017e+02 2.610728341132673418e-03
-1.236180904522613133e+02 2.765948162556430400e-03
-1.216080402010050250e+02 2.921167983980186948e-03
-1.195979899497487509e+02 3.093290125881291777e-03
-1.175879396984924767e+02 3.272801838840646779e-03
-1.155778894472361884e+02 3.452313551800002215e-03
-1.135678391959799001e+02 3.659002637403749748e-03
-1.115577889447236259e+02 3.867058387518189453e-03
-1.095477386934673518e+02 4.087949692946943325e-03
-1.075376884422110635e+02 4.329805205790371661e-03
-1.055276381909547752e+02 4.571660718633801732e-03
-1.035175879396985010e+02 4.842161996948515269e-03
-1.015075376884422269e+02 5.127067385969913925e-03
-9.949748743718593857e+01 5.413957867627214489e-03
-9.748743718592965024e+01 5.736777431459031025e-03
-9.547738693467337612e+01 6.059596995290845826e-03
-9.346733668341710199e+01 6.404167146889679779e-03
-9.145728643216081366e+01 6.784349822512767379e-03
-8.944723618090452533e+01 7.164532498135853245e-03
-8.743718592964825120e+01 7.590848461843260550e-03
-8.542713567839197708e+01 8.035147554058801739e-03
-8.341708542713568875e+01 8.487087610412828720e-03
-8.140703517587940041e+01 9.013601730483213406e-03
-7.939698492462312629e+01 9.540115850553596358e-03
-7.738693467336685217e+01 1.010269291042541553e-02
-7.537688442211056383e+01 1.069967871161210671e-02
-7.336683417085427550e+01 1.129666451279879615e-02
-7.135678391959800138e+01 1.199869350899331576e-02
-6.934673366834172725e+01 1.270777121392401877e-02
-6.733668341708545313e+01 1.346739404113767719e-02
-6.532663316582915058e+01 1.431055825716344605e-02
-6.331658291457287646e+01 1.515372247318920278e-02
-6.130653266331660234e+01 1.610396543108333703e-02
-5.929648241206029979e+01 1.711332370516491577e-02
-5.728643216080402567e+01 1.813388762429327117e-02
-5.527638190954775155e+01 1.934453674401896695e-02
-5.326633165829147742e+01 2.055518586374466619e-02
-5.125628140703520330e+01 2.186567396892881085e-02
-4.924623115577890076e+01 2.336001550724486203e-02
-4.723618090452262663e+01 2.485435704556088893e-02
-4.522613065326635251e+01 2.652714216384376156e-02
-4.321608040201004997e+01 2.827009307948812750e-02
-4.120603015075377584e+01 3.004355196486483554e-02
-3.919597989949750172e+01 3.225091299585786803e-02
-3.718592964824122760e+01 3.445827402685088664e-02
-3.517587939698495347e+01 3.694012173619172501e-02
-3.316582914572865093e+01 3.971403076765019774e-02
-3.115577889447237681e+01 4.248793979910862884e-02
-2.914572864321610268e+01 4.598147160325887634e-02
-2.713567839195980014e+01 4.954006684715899639e-02
-2.512562814070352601e+01 5.354197436554511413e-02
-2.311557788944725189e+01 5.817650979346738332e-02
-2.110552763819097777e+01 6.318471312194708089e-02
-1.909547738693470365e+01 6.919096901245540276e-02
-1.708542713567840110e+01 7.608851295371363288e-02
-1.507537688442212698e+01 8.399149104616276951e-02
-1.306532663316585285e+01 9.372166315446048279e-02
-1.105527638190955031e+01 1.059757190630587348e-01
-9.045226130653276186e+00 1.228921967778857649e-01
-7.035175879397002063e+00 1.473351242538765704e-01
-5.025125628140727940e+00 1.932088753264735448e-01
-3.015075376884453817e+00 2.793539437115291069e-01
-1.005025125628151272e+00 3.683287071552399650e-01
1.005025125628122851e+00 5.946185101672463169e-01
3.015075376884396974e+00 9.628493503290309619e-01
5.025125628140699519e+00 1.347810556575211205e+00
7.035175879396973642e+00 1.767459364125687493e+00
