# r_nm potential_V
0.000000000000000000e+00 1.940449941273469092e-01
2.512562814070351980e+00 1.930901524851259821e-01
5.025125628140703959e+00 1.921710675188585127e-01
7.537688442211056383e+00 1.915959288509919700e-01
1.005025125628140792e+01 1.903963247157620386e-01
1.256281407035175945e+01 1.893451046490706724e-01
1.507537688442211277e+01 1.877537241173443949e-01
1.758793969849246253e+01 1.863498608502348330e-01
2.010050251256281584e+01 1.846471785827157874e-01
2.261306532663316915e+01 1.831681388517285014e-01
2.512562814070351891e+01 1.815232959300301097e-01
2.763819095477387222e+01 1.799002122907814860e-01
3.015075376884422553e+01 1.784373180164036121e-01
3.266331658291457529e+01 1.769979902101956604e-01
3.517587939698492505e+01 1.756827842238313508e-01
3.768844221105528192e+01 1.743626432025809081e-01
4.020100502512563168e+01 1.731233413151330447e-01
4.271356783919598143e+01 1.720544959535776353e-01
4.522613065326633830e+01 1.710814265921088984e-01
4.773869346733668806e+01 1.700382651975033133e-01
5.025125628140703782e+01 1.692613457393386811e-01
5.276381909547739468e+01 1.684598299740380500e-01
5.527638190954774444e+01 1.677561458721706922e-01
5.778894472361809420e+01 1.670969356438450348e-01
6.030150753768845107e+01 1.664777087304390724e-01
6.281407035175880083e+01 1.659942421944119173e-01
6.532663316582915058e+01 1.654162342086601400e-01
6.783919597989950034e+01 1.650057782807368700e-01
7.035175879396985010e+01 1.645376409546363827e-01
7.286432160804021407e+01 1.640855096501888100e-01
7.537688442211056383e+01 1.637935748481410825e-01
7.788944723618091359e+01 1.634402855370890584e-01
8.040201005025126335e+01 1.631166288003821352e-01
8.291457286432161311e+01 1.628843344940966442e-01
8.542713567839196287e+01 1.625897424206883268e-01
8.793969849246231263e+01 1.623072121240998478e-01
9.045226130653267660e+01 1.621746361209235598e-01
9.296482412060302636e+01 1.619006543664139319e-01
9.547738693467337612e+01 1.616857904033906501e-01
9.798994974874372588e+01 1.614763756154328489e-01
1.005025125628140756e+02 1.613929870786447174e-01
1.030150753768844254e+02 1.612193742557253839e-01
1.055276381909547894e+02 1.610315297663316159e-01
1.080402010050251391e+02 1.608777123066753856e-01
1.105527638190954889e+02 1.606887331309199696e-01
1.130653266331658386e+02 1.605803401981009126e-01
1.155778894472361884e+02 1.605041252950114017e-01
1.180904522613065382e+02 1.603811923144730367e-01
1.206030150753769021e+02 1.602741924698925235e-01
1.231155778894472519e+02 1.601641294773340496e-01
1.256281407035176017e+02 1.601016485689405744e-01
