# z_nm potential_V
-2.000000000000000000e+02 0.000000000000000000e+00
-1.979899497487437259e+02 3.939851918658793207e-05
-1.959798994974874518e+02 7.879703837317586414e-05
-1.939698492462311492e+02 1.185123748686603846e-04
-1.919597989949748751e+02 1.585252909002527431e-04
-1.899497487437186010e+02 1.985802746168026996e-04
-1.879396984924622984e+02 2.399367065116879947e-04
-1.859296482412060243e+02 2.812931384065727207e-04
-1.839195979899497502e+02 3.237872949945111542e-04
-1.819095477386934760e+02 3.672237860820549895e-04
-1.798994974874372019e+02 4.108395397595113120e-04
-1.778894472361808994e+02 4.571385859589575159e-04
-1.758793969849246253e+02 5.034376321584031234e-04
-1.738693467336683511e+02 5.518747217507471081e-04
-1.718592964824120486e+02 6.018710196639500722e-04
-1.698492462311557745e+02 6.522998205056183742e-04
-1.678391959798995003e+02 7.069004011432004691e-04
-1.658291457286432262e+02 7.615009817807826724e-04
-1.638190954773869521e+02 8.195134292904564938e-04
-1.618090452261306496e+02 8.797109894250975358e-04
-1.597989949748743754e+02 9.407476417680807595e-04
-1.577889447236181013e+02 1.007644724908387688e-03
-1.557788944723617988e+02 1.074541808048695701e-03
-1.537688442211055246e+02 1.146522940968920700e-03
-1.517587939698492505e+02 1.221352667115264490e-03
-1.497487437185929764e+02 1.297642201849649735e-03
-1.477386934673367023e+02 1.381796310820396787e-03
-1.457286432160803997e+02 1.465950419791144923e-03
-1.437185929648241256e+02 1.557432196033211235e-03
-1.417085427135678515e+02 1.652487100074033922e-03
-1.396984924623115489e+02 1.749927551484175029e-03
-1.376884422110552748e+02 1.857680328554084121e-03
-1.356783919597990007e+02 1.965433105623993430e-03
-1.336683417085427266e+02 2.083566308829251472e-03
-1.316582914572864524e+02 2.206073950905277931e-03
-1.296482412060301499e+02 2.332334014904118881e-03
-1.276381909547738758e+02 2.471961816633561938e-03
-1.256281407035176017e+02 2.611589618363005429e-03
-1.236180904522613133e+02 2.765804533932602303e-03
-1.216080402010050250e+02 2.925283143248865337e-03
-1.195979899497487509e+02 3.090527072612861068e-03
-1.175879396984924767e+02 3.273021563801689019e-03
-1.155778894472361884e+02 3.455516054990518272e-03
-1.135678391959799001e+02 3.658466086015843294e-03
-1.115577889447236259e+02 3.867659745973841146e-03
-1.095477386934673518e+02 4.085590314043431072e-03
-1.075376884422110635e+02 4.325787382637584153e-03
-1.055276381909547752e+02 4.565984451231738968e-03
-1.035175879396985010e+02 4.834934581182070285e-03
-1.015075376884422269e+02 5.111187427453213993e-03
-9.949748743718593857e+01 5.400595995435108695e-03
-9.748743718592965024e+01 5.718864276663689072e-03
-9.547738693467337612e+01 6.037132557892265980e-03
-9.346733668341710199e+01 6.396080304646768917e-03
-9.145728643216081366e+01 6.763432597836714806e-03
-8.944723618090452533e+01 7.150596466949741409e-03
-8.743718592964825120e+01 7.575468978193299931e-03
-8.542713567839197708e+01 8.000341489436858453e-03
-8.341708542713568875e+01 8.483408416200545824e-03
-8.140703517587940041e+01 8.975942254760678474e-03
-7.939698492462312629e+01 9.498517267974121783e-03
-7.738693467336685217e+01 1.007100320186856031e-02
-7.537688442211056383e+01 1.064348913576300057e-02
-7.336683417085427550e+01 1.130065617690066866e-02
-7.135678391959800138e+01 1.196814046710396352e-02
-6.934673366834172725e+01 1.268187064734369561e-02
-6.733668341708545313e+01 1.346296687751885601e-02
-6.532663316582915058e+01 1.424406310769402682e-02
-6.331658291457287646e+01 1.515157323894757505e-02
-6.130653266331660234e+01 1.606967274537320078e-02
-5.929648241206029979e+01 1.706086905918116625e-02
-5.728643216080402567e+01 1.814571807276278356e-02
-5.527638190954775155e+01 1.923056708634440781e-02
-5.326633165829147742e+01 2.051158948457292713e-02
-5.125628140703520330e+01 2.180206692911946381e-02
-4.924623115577890076e+01 2.321327154735178949e-02
-4.723618090452262663e+01 2.476079328158029697e-02
-4.522613065326635251e+01 2.630831501580880791e-02
-4.321608040201004997e+01 2.817931700269602976e-02
-4.120603015075377584e+01 3.005513495758976167e-02
-3.919597989949750172e+01 3.214576367119701544e-02
-3.718592964824122760e+01 3.445035739279350001e-02
-3.517587939698495347e+01 3.676462855718204414e-02
-3.316582914572865093e+01 3.965072741825276248e-02
-3.115577889447237681e+01 4.253682627932343224e-02
-2.914572864321610268e+01 4.585652342752197935e-02
-2.713567839195980014e+01 4.955720056201400048e-02
-2.512562814070352601e+01 5.336405192063035929e-02
-2.311557788944725189e+01 5.816178036302786791e-02
-2.110552763819097777e+01 6.301198569896743207e-02
-1.909547738693470365e+01 6.916893234714963090e-02
-1.708542713567840110e+01 7.592889691497428650e-02
-1.507537688442212698e+01 8.379328790325339671e-02
-1.306532663316585285e+01 9.374957780995116230e-02
-1.105527638190955031e+01 1.060516533951769286e-01
-9.045226130653276186e+00 1.227194960676888380e-01
-7.035175879397002063e+00 1.470779911983974564e-01
-5.025125628140727940e+00 1.932646514273670957e-01
-3.015075376884453817e+00 2.793289945871724189e-01
-1.005025125628151272e+00 3.682592238905813553e-01
1.005025125628122851e+00 5.945452317417900812e-01
3.015075376884396974e+00 9.628322220738129156e-01
5.025125628140699519e+00 1.348076950172885757e+00
7.035175879396973642e+00 1.767542192526855516e+00
