# r_nm potential_V
0.000000000000000000e+00 -1.372620074396245338e+00
2.512562814070351980e+00 -1.374691807197633064e+00
5.025125628140703959e+00 -1.380508027391556869e+00
7.537688442211056383e+00 -1.389557155660176457e+00
1.005025125628140792e+01 -1.401197594086818432e+00
1.256281407035175945e+01 -1.415028374035485648e+00
1.507537688442211277e+01 -1.430257928479054197e+00
1.758793969849246253e+01 -1.446350713892035289e+00
2.010050251256281584e+01 -1.462754308595771491e+00
2.261306532663316915e+01 -1.478753993551335855e+00
2.512562814070351891e+01 -1.494097497612940639e+00
2.763819095477387222e+01 -1.508555314566474292e+00
3.015075376884422553e+01 -1.521858165330749024e+00
3.266331658291457529e+01 -1.534103738326931587e+00
3.517587939698492505e+01 -1.545322884656200602e+00
3.768844221105528192e+01 -1.555502332338547067e+00
4.020100502512563168e+01 -1.564804451338968949e+00
4.271356783919598143e+01 -1.573109965656888320e+00
4.522613065326633830e+01 -1.580600186066342561e+00
4.773869346733668806e+01 -1.587434354654807089e+00
5.025125628140703782e+01 -1.593672316855971438e+00
5.276381909547739468e+01 -1.599320190118914908e+00
5.527638190954774444e+01 -1.604442206001003735e+00
5.778894472361809420e+01 -1.609020832393041278e+00
6.030150753768845107e+01 -1.613113388953671956e+00
6.281407035175880083e+01 -1.616765440599357673e+00
6.532663316582915058e+01 -1.620086752422764231e+00
6.783919597989950034e+01 -1.623119783600761368e+00
7.035175879396985010e+01 -1.625898435083881211e+00
7.286432160804021407e+01 -1.628405004540686374e+00
7.537688442211056383e+01 -1.630671633653612451e+00
7.788944723618091359e+01 -1.632742897980120400e+00
8.040201005025126335e+01 -1.634616239840514629e+00
8.291457286432161311e+01 -1.636349056873799501e+00
8.542713567839196287e+01 -1.637981497921062291e+00
8.793969849246231263e+01 -1.639506067129347100e+00
9.045226130653267660e+01 -1.640958143938279212e+00
9.296482412060302636e+01 -1.642312347091133828e+00
9.547738693467337612e+01 -1.643556063960179836e+00
9.798994974874372588e+01 -1.644801374285067341e+00
1.005025125628140756e+02 -1.645955645194299599e+00
1.030150753768844254e+02 -1.646973146657944254e+00
1.055276381909547894e+02 -1.647870213850167964e+00
1.080402010050251391e+02 -1.648677103310192793e+00
1.105527638190954889e+02 -1.649391512128390858e+00
1.130653266331658386e+02 -1.650037192458098767e+00
1.155778894472361884e+02 -1.650688681831848248e+00
1.180904522613065382e+02 -1.651379612638371963e+00
1.206030150753769021e+02 -1.652111369566905408e+00
1.231155778894472519e+02 -1.652827054566068377e+00
1.256281407035176017e+02 -1.653460094862932328e+00
1.281407035175879514e+02 -1.654043679715470283e+00
1.306532663316583012e+02 -1.654661067133016861e+00
1.331658291457286509e+02 -1.655201047992257646e+00
1.356783919597990007e+02 -1.655676588795965687e+00
1.381909547738693504e+02 -1.656135015297694579e+00
1.407035175879397002e+02 -1.656555948840229942e+00
