# z_nm potential_V
-2.000000000000000000e+02 0.000000000000000000e+00
-1.979899497487437259e+02 -6.716744571704486673e-04
-1.959798994974874518e+02 -1.343348914340897335e-03
-1.939698492462311492e+02 -2.015783051851034041e-03
-1.919597989949748751e+02 -2.689188377767353332e-03
-1.899497487437186010e+02 -3.362593703683672622e-03
-1.879396984924622984e+02 -4.039006721886384370e-03
-1.859296482412060243e+02 -4.716107265943438910e-03
-1.839195979899497502e+02 -5.394444654811867031e-03
-1.819095477386934760e+02 -6.077277291670954602e-03
-1.798994974874372019e+02 -6.760109928530042174e-03
-1.778894472361808994e+02 -7.446613959715166209e-03
-1.758793969849246253e+02 -8.135351572164392989e-03
-1.738693467336683511e+02 -8.824924402182672198e-03
-1.718592964824120486e+02 -9.522877485911372675e-03
-1.698492462311557745e+02 -1.022083056964006448e-02
-1.678391959798995003e+02 -1.092495647271893820e-02
-1.658291457286432262e+02 -1.163360217548148508e-02
-1.638190954773869521e+02 -1.234325486030262743e-02
-1.618090452261306496e+02 -1.306503209203408594e-02
-1.597989949748743754e+02 -1.378680932376553404e-02
-1.577889447236181013e+02 -1.451449555871154110e-02
-1.557788944723617988e+02 -1.525182112194890804e-02
-1.537688442211055246e+02 -1.598914668518626458e-02
-1.517587939698492505e+02 -1.674141570741823418e-02
-1.497487437185929764e+02 -1.749582834687523833e-02
-1.477386934673367023e+02 -1.825394237309421741e-02
-1.457286432160803997e+02 -1.902810608626512301e-02
-1.437185929648241256e+02 -1.980226979943601820e-02
-1.417085427135678515e+02 -2.059170853551906336e-02
-1.396984924623115489e+02 -2.138885062977511492e-02
-1.376884422110552748e+02 -2.218602628862821960e-02
-1.356783919597990007e+02 -2.300815057931630131e-02
-1.336683417085427266e+02 -2.383027487000438649e-02
-1.316582914572864524e+02 -2.466509485620493533e-02
-1.296482412060301499e+02 -2.551387738224205129e-02
-1.276381909547738758e+02 -2.636265990827915684e-02
-1.256281407035176017e+02 -2.724210964924286479e-02
-1.236180904522613133e+02 -2.812175930696781886e-02
-1.216080402010050250e+02 -2.901861237311310210e-02
-1.195979899497487509e+02 -2.993456040311133839e-02
-1.175879396984924767e+02 -3.085050843310956775e-02
-1.155778894472361884e+02 -3.179817657572004547e-02
-1.135678391959799001e+02 -3.275405172788951186e-02
-1.115577889447236259e+02 -3.372332436713852688e-02
-1.095477386934673518e+02 -3.472639775327319989e-02
-1.075376884422110635e+02 -3.572947113940787983e-02
-1.055276381909547752e+02 -3.676183954261537379e-02
-1.035175879396985010e+02 -3.781458546202178667e-02
-1.015075376884422269e+02 -3.887209514107103220e-02
-9.949748743718593857e+01 -3.997827641280463085e-02
-9.748743718592965024e+01 -4.108445768453822949e-02
-9.547738693467337612e+01 -4.221463055042760926e-02
-9.346733668341710199e+01 -4.338232646179825125e-02
-9.145728643216081366e+01 -4.455002237316890712e-02
-8.944723618090452533e+01 -4.578368127668713122e-02
-8.743718592964825120e+01 -4.702572097342486157e-02
-8.542713567839197708e+01 -4.828367674875438942e-02
-8.341708542713568875e+01 -4.960690222713776826e-02
-8.140703517587940041e+01 -5.093012770552114710e-02
-7.939698492462312629e+01 -5.231371464208063593e-02
-7.738693467336685217e+01 -5.372500895455393360e-02
-7.537688442211056383e+01 -5.515731626572625834e-02
-7.336683417085427550e+01 -5.667493503187930048e-02
-7.135678391959800138e+01 -5.819255379803233569e-02
-6.934673366834172725e+01 -5.979557283270880985e-02
-6.733668341708545313e+01 -6.144113519329909984e-02
-6.532663316582915058e+01 -6.308997977739363994e-02
-6.331658291457287646e+01 -6.488589248325456194e-02
-6.130653266331660234e+01 -6.668180518911547006e-02
-5.929648241206029979e+01 -6.856968147399322699e-02
-5.728643216080402567e+01 -7.055661767833577847e-02
-5.527638190954775155e+01 -7.254355388267831606e-02
-5.326633165829147742e+01 -7.470417430258645408e-02
-5.125628140703520330e+01 -7.690748292483043369e-02
-4.924623115577890076e+01 -7.918784275375717607e-02
-4.723618090452262663e+01 -8.165915138707287302e-02
-4.522613065326635251e+01 -8.413046002038856996e-02
-4.321608040201004997e+01 -8.680656565058926522e-02
-4.120603015075377584e+01 -8.962165666552521226e-02
-3.919597989949750172e+01 -9.247817064526239750e-02
-3.718592964824122760e+01 -9.573612102849651806e-02
-3.517587939698495347e+01 -9.899407141173062474e-02
-3.316582914572865093e+01 -1.026146212523425250e-01
-3.115577889447237681e+01 -1.065064229605758722e-01
-2.914572864321610268e+01 -1.104338863194405662e-01
-2.713567839195980014e+01 -1.151966783679400225e-01
-2.512562814070352601e+01 -1.199594704164394371e-01
-2.311557788944725189e+01 -1.255747886821265424e-01
-2.110552763819097777e+01 -1.314739492922369635e-01
-1.909547738693470365e+01 -1.386320193602775530e-01
-1.708542713567840110e+01 -1.465017226471641565e-01
-1.507537688442212698e+01 -1.558636985234763128e-01
-1.306532663316585285e+01 -1.675804874545384071e-01
-1.105527638190955031e+01 -1.824239141111498597e-01
-9.045226130653276186e+00 -2.035752591329006433e-01
-7.035175879397002063e+00 -2.387382853165969099e-01
-5.025125628140727940e+00 -3.767428160358742839e-01
-3.015075376884453817e+00 -8.728338419773747914e-01
-1.005025125628151272e+00 -1.371377751919359289e+00
1.005025125628122851e+00 -1.204932622526034169e+00
3.015075376884396974e+00 -3.630358953228525198e-01
5.025125628140699519e+00 5.151570369759127521e-01
7.035175879396973642e+00 1.469277555821429271e+00
