# r_nm potential_V
0.000000000000000000e+00 -1.094387363038447497e-01
2.512562814070351980e+00 -1.095780357085332363e-01
5.025125628140703959e+00 -1.099764410712617407e-01
7.537688442211056383e+00 -1.106142768155441991e-01
1.005025125628140792e+01 -1.114599736510141215e-01
1.256281407035175945e+01 -1.124876463901159224e-01
1.507537688442211277e+01 -1.136576197402996702e-01
1.758793969849246253e+01 -1.149346782112295323e-01
2.010050251256281584e+01 -1.162836126654841346e-01
2.261306532663316915e+01 -1.176644167291397980e-01
2.512562814070351891e+01 -1.190512449893191965e-01
2.763819095477387222e+01 -1.204231968351830856e-01
3.015075376884422553e+01 -1.217589322512036137e-01
3.266331658291457529e+01 -1.230497531428135644e-01
3.517587939698492505e+01 -1.242871812053788910e-01
3.768844221105528192e+01 -1.254621539604825753e-01
4.020100502512563168e+01 -1.265745022817276466e-01
4.271356783919598143e+01 -1.276191942960111514e-01
4.522613065326633830e+01 -1.285994047531366369e-01
4.773869346733668806e+01 -1.295146565746708722e-01
5.025125628140703782e+01 -1.303671664559666044e-01
5.276381909547739468e+01 -1.311603661115459118e-01
5.527638190954774444e+01 -1.318966985902504940e-01
5.778894472361809420e+01 -1.325797612930844360e-01
6.030150753768845107e+01 -1.332138529763751134e-01
6.281407035175880083e+01 -1.338010455720040626e-01
6.532663316582915058e+01 -1.343460055462666336e-01
6.783919597989950034e+01 -1.348503975634988417e-01
7.035175879396985010e+01 -1.353182238451403341e-01
7.286432160804021407e+01 -1.357523119279315793e-01
7.537688442211056383e+01 -1.361546024728061965e-01
7.788944723618091359e+01 -1.365284131326416073e-01
8.040201005025126335e+01 -1.368757660188054948e-01
8.291457286432161311e+01 -1.371984158569689027e-01
8.542713567839196287e+01 -1.374990315397788265e-01
8.793969849246231263e+01 -1.377788158276948560e-01
9.045226130653267660e+01 -1.380399440708613978e-01
9.296482412060302636e+01 -1.382838973279180983e-01
9.547738693467337612e+01 -1.385118528301196028e-01
9.798994974874372588e+01 -1.387254579375631347e-01
1.005025125628140756e+02 -1.389255611589547690e-01
1.030150753768844254e+02 -1.391134261570393660e-01
1.055276381909547894e+02 -1.392901569112606486e-01
1.080402010050251391e+02 -1.394563607890430823e-01
1.105527638190954889e+02 -1.396128869778926473e-01
1.130653266331658386e+02 -1.397606710481144321e-01
1.155778894472361884e+02 -1.399000554549100772e-01
1.180904522613065382e+02 -1.400319335340355631e-01
1.206030150753769021e+02 -1.401566642031194521e-01
1.231155778894472519e+02 -1.402745678939903984e-01
1.256281407035176017e+02 -1.403862414455865348e-01
1.281407035175879514e+02 -1.404919124069929082e-01
1.306532663316583012e+02 -1.405921721757607268e-01
1.331658291457286509e+02 -1.406874454346251913e-01
1.356783919597990007e+02 -1.407779332499904112e-01
1.381909547738693504e+02 -1.408641399496211033e-01
1.407035175879397002e+02 -1.409464414644888142e-01
1.432160804020100500e+02 -1.410248761036963228e-01
1.457286432160804281e+02 -1.410996965031784400e-01
1.482412060301507779e+02 -1.411712655155777651e-01
1.507537688442211277e+02 -1.412396584187484150e-01
1.532663316582914774e+02 -1.413052350775504118e-01
1.557788944723618272e+02 -1.413680621480855049e-01
1.582914572864321769e+02 -1.414281958507186132e-01
1.608040201005025267e+02 -1.414860319953945011e-01
1.633165829145728765e+02 -1.415417755191911153e-01
1.658291457286432262e+02 -1.415953265518847537e-01
1.683417085427135760e+02 -1.416467441924507409e-01
1.708542713567839257e+02 -1.416961506993766606e-01
1.733668341708542755e+02 -1.417437424212397989e-01
1.758793969849246253e+02 -1.417897816770290753e-01
1.783919597989950034e+02 -1.418339943055582086e-01
1.809045226130653532e+02 -1.418764208452052700e-01
1.834170854271357030e+02 -1.419172283216621200e-01
1.859296482412060527e+02 -1.419566340609313415e-01
1.884422110552764025e+02 -1.419947872634161334e-01
1.909547738693467522e+02 -1.420315920192458670e-01
1.934673366834171020e+02 -1.420671725550652631e-01
1.959798994974874518e+02 -1.421016368346604830e-01
1.984924623115578015e+02 -1.421348670902041478e-01
2.010050251256281513e+02 -1.421669674765580205e-01
2.035175879396985010e+02 -1.421979141827312276e-01
2.060301507537688508e+02 -1.422278249901818559e-01
2.085427135678392006e+02 -1.422567759378320362e-01
2.110552763819095787e+02 -1.422846961833771628e-01
2.135678391959799285e+02 -1.423116982842698719e-01
2.160804020100502782e+02 -1.423380026245607000e-01
2.185929648241206280e+02 -1.423636771038051529e-01
2.211055276381909778e+02 -1.423887045129077766e-01
2.236180904522613275e+02 -1.424129486042506609e-01
2.261306532663316773e+02 -1.424364937447236135e-01
2.286432160804020270e+02 -1.424594968392984828e-01
2.311557788944723768e+02 -1.424817763465732190e-01
2.336683417085427266e+02 -1.425032814660722735e-01
2.361809045226130763e+02 -1.425239912322626423e-01
2.386934673366834261e+02 -1.425439482939588609e-01
2.412060301507538043e+02 -1.425632033586328451e-01
2.437185929648241540e+02 -1.425816938180785864e-01
2.462311557788945038e+02 -1.425994718219792123e-01
2.487437185929648535e+02 -1.426166757273203689e-01
2.512562814070352033e+02 -1.426333838666513920e-01
2.537688442211055531e+02 -1.426497432366908846e-01
2.562814070351759028e+02 -1.426657990950639388e-01
2.587939698492462526e+02 -1.426814904422034069e-01
2.613065326633166023e+02 -1.426969163531494611e-01
2.638190954773869521e+02 -1.427120706267648309e-01
2.663316582914573019e+02 -1.427269174923226636e-01
2.688442211055276516e+02 -1.427414039367625176e-01
2.713567839195980014e+02 -1.427553982831020474e-01
2.738693467336683511e+02 -1.427688404902034969e-01
2.763819095477387009e+02 -1.427817552010976487e-01
2.788944723618090507e+02 -1.427942140260695381e-01
2.814070351758794004e+02 -1.428063219030272502e-01
2.839195979899497502e+02 -1.428181047709506102e-01
2.864321608040200999e+02 -1.428295462572238272e-01
2.889447236180904497e+02 -1.428406257001161306e-01
2.914572864321608563e+02 -1.428512103634914654e-01
2.939698492462312061e+02 -1.428613473296047875e-01
2.964824120603015558e+02 -1.428710418426377970e-01
2.989949748743719056e+02 -1.428802593962345824e-01
3.015075376884422553e+02 -1.428891094381230242e-01
3.040201005025126051e+02 -1.428976669834148283e-01
3.065326633165829548e+02 -1.429059324080866888e-01
3.090452261306533046e+02 -1.429138758235283524e-01
3.115577889447236544e+02 -1.429214360399812256e-01
3.140703517587940041e+02 -1.429287898709144800e-01
3.165829145728643539e+02 -1.429361648463824408e-01
3.190954773869347036e+02 -1.429435146623241615e-01
3.216080402010050534e+02 -1.429508113457422236e-01
3.241206030150754032e+02 -1.429579690608622500e-01
