# z_nm potential_V
-2.000000000000000000e+02 0.000000000000000000e+00
-1.979899497487437259e+02 -6.589729194857878213e-04
-1.959798994974874518e+02 -1.317945838971575643e-03
-1.939698492462311492e+02 -1.977662758644196765e-03
-1.919597989949748751e+02 -2.638330820946028533e-03
-1.899497487437186010e+02 -3.298998883247860735e-03
-1.879396984924622984e+02 -3.962612709656167936e-03
-1.859296482412060243e+02 -4.626899905808169212e-03
-1.839195979899497502e+02 -5.292398449740567078e-03
-1.819095477386934760e+02 -5.962299574033685066e-03
-1.798994974874372019e+02 -6.632200698326802188e-03
-1.778894472361808994e+02 -7.305695566501168962e-03
-1.758793969849246253e+02 -7.981376775419215044e-03
-1.738693467336683511e+02 -8.657875467836228731e-03
-1.718592964824120486e+02 -9.342576477085723363e-03
-1.698492462311557745e+02 -1.002727748633520759e-02
-1.678391959798995003e+02 -1.071801764689626034e-02
-1.658291457286432262e+02 -1.141317973407450156e-02
-1.638190954773869521e+02 -1.210932654883119242e-02
-1.618090452261306496e+02 -1.281732995588450059e-02
-1.597989949748743754e+02 -1.352533336293779836e-02
-1.577889447236181013e+02 -1.423911220688360221e-02
-1.557788944723617988e+02 -1.496231249302727370e-02
-1.537688442211055246e+02 -1.568551277917093478e-02
-1.517587939698492505e+02 -1.642330859852890457e-02
-1.497487437185929764e+02 -1.716319812567019057e-02
-1.477386934673367023e+02 -1.790670040877533065e-02
-1.457286432160803997e+02 -1.866586806434280404e-02
-1.437185929648241256e+02 -1.942503571991026357e-02
-1.417085427135678515e+02 -2.019910132307430051e-02
-1.396984924623115489e+02 -2.098068012127830839e-02
-1.376884422110552748e+02 -2.176229162269304254e-02
-1.356783919597990007e+02 -2.256821148577214248e-02
-1.336683417085427266e+02 -2.337413134885124241e-02
-1.316582914572864524e+02 -2.419240835278124030e-02
-1.296482412060301499e+02 -2.502427555909340559e-02
-1.276381909547738758e+02 -2.585614276540555700e-02
-1.256281407035176017e+02 -2.671782710480573308e-02
-1.236180904522613133e+02 -2.757970581936161625e-02
-1.216080402010050250e+02 -2.845828809692534447e-02
-1.195979899497487509e+02 -2.935541053374456782e-02
-1.175879396984924767e+02 -3.025253297056379118e-02
-1.155778894472361884e+02 -3.118040696849769255e-02
-1.135678391959799001e+02 -3.211623738068230399e-02
-1.115577889447236259e+02 -3.306503333727216221e-02
-1.095477386934673518e+02 -3.404654028526473558e-02
-1.075376884422110635e+02 -3.502804723325730896e-02
-1.055276381909547752e+02 -3.603784775337287583e-02
-1.035175879396985010e+02 -3.706732918791932896e-02
-1.015075376884422269e+02 -3.810140134786784566e-02
-9.949748743718593857e+01 -3.918237720020369130e-02
-9.748743718592965024e+01 -4.026335305253954389e-02
-9.547738693467337612e+01 -4.136739911099407419e-02
-9.346733668341710199e+01 -4.250752715665760684e-02
-9.145728643216081366e+01 -4.364765520232116031e-02
-8.944723618090452533e+01 -4.485104588631357719e-02
-8.743718592964825120e+01 -4.606247427558729512e-02
-8.542713567839197708e+01 -4.728911801062206377e-02
-8.341708542713568875e+01 -4.857815783737989834e-02
-8.140703517587940041e+01 -4.986719766413773985e-02
-7.939698492462312629e+01 -5.121373563590519984e-02
-7.738693467336685217e+01 -5.258666665327271783e-02
-7.537688442211056383e+01 -5.397953506851186495e-02
-7.336683417085427550e+01 -5.545334806692635982e-02
-7.135678391959800138e+01 -5.692716106534084775e-02
-6.934673366834172725e+01 -5.848160659115961280e-02
-6.733668341708545313e+01 -6.007622032665647233e-02
-6.532663316582915058e+01 -6.167391526170860894e-02
-6.331658291457287646e+01 -6.340967094454223740e-02
-6.130653266331660234e+01 -6.514542662737587975e-02
-5.929648241206029979e+01 -6.696692990562597148e-02
-5.728643216080402567e+01 -6.888079746533462555e-02
-5.527638190954775155e+01 -7.079466502504327963e-02
-5.326633165829147742e+01 -7.286911391769512747e-02
-5.125628140703520330e+01 -7.498303057896205104e-02
-4.924623115577890076e+01 -7.716749915519434400e-02
-4.723618090452262663e+01 -7.952680994856990704e-02
-4.522613065326635251e+01 -8.188612074194547008e-02
-4.321608040201004997e+01 -8.443061869377770090e-02
-4.120603015075377584e+01 -8.710079382280302984e-02
-3.919597989949750172e+01 -8.980787219595856574e-02
-3.718592964824122760e+01 -9.287258565564350532e-02
-3.517587939698495347e+01 -9.593729911532844490e-02
-3.316582914572865093e+01 -9.931860593665589598e-02
-3.115577889447237681e+01 -1.029367485801964410e-01
-2.914572864321610268e+01 -1.065851865369213392e-01
-2.713567839195980014e+01 -1.109432535718398033e-01
-2.512562814070352601e+01 -1.153013206067581981e-01
-2.311557788944725189e+01 -1.203579245711144385e-01
-2.110552763819097777e+01 -1.256471012771888107e-01
-1.909547738693470365e+01 -1.319206925299962474e-01
-1.708542713567840110e+01 -1.387285593343629275e-01
-1.507537688442212698e+01 -1.466363760663488836e-01
-1.306532663316585285e+01 -1.561551402669332234e-01
-1.105527638190955031e+01 -1.676313023182865458e-01
-9.045226130653276186e+00 -1.825282620228790287e-01
-7.035175879397002063e+00 -2.032362504065432229e-01
-5.025125628140727940e+00 -2.384172743369587510e-01
-3.015075376884453817e+00 -2.885312976872292379e-01
-1.005025125628151272e+00 -3.384814935464754981e-01
1.005025125628122851e+00 -3.217589955157852399e-01
3.015075376884396974e+00 -2.373243295629303973e-01
5.025125628140699519e+00 -1.491641726436156723e-01
7.035175879396973642e+00 -5.332266739591828841e-02
