# z_idx z_nm
0 -100.000000
1 -99.000000
2 -98.000000
3 -97.000000
4 -96.000000
5 -95.000000
6 -94.000000
7 -93.000000
8 -92.000000
9 -91.000000
10 -90.000000
11 -89.000000
12 -88.000000
13 -87.000000
14 -86.000000
15 -85.000000
16 -84.000000
17 -83.000000
18 -82.000000
19 -81.000000
20 -80.000000
21 -79.000000
22 -78.000000
23 -77.000000
24 -76.000000
25 -75.000000
26 -74.000000
27 -73.000000
28 -72.000000
29 -71.000000
30 -70.000000
31 -69.000000
32 -68.000000
33 -67.000000
34 -66.000000
35 -65.000000
36 -64.000000
37 -63.000000
38 -62.000000
39 -61.000000
40 -60.000000
41 -59.000000
42 -58.000000
43 -57.000000
44 -56.000000
45 -55.000000
46 -54.000000
47 -53.000000
48 -52.000000
49 -51.000000
50 -50.000000
51 -49.000000
52 -48.000000
53 -47.000000
54 -46.000000
55 -45.000000
56 -44.000000
57 -43.000000
58 -42.000000
59 -41.000000
60 -40.000000
61 -39.000000
62 -38.000000
63 -37.000000
64 -36.000000
65 -35.000000
66 -34.000000
67 -33.000000
68 -32.000000
69 -31.000000
70 -30.000000
71 -29.000000
72 -28.000000
73 -27.000000
74 -26.000000
75 -25.000000
76 -24.000000
77 -23.000000
78 -22.000000
79 -21.000000
80 -20.000000
81 -19.000000
82 -18.000000
83 -17.000000
84 -16.000000
85 -15.000000
86 -14.000000
87 -13.000000
88 -12.000000
89 -11.000000
90 -10.000000
91 -9.000000
92 -8.000000
93 -7.000000
94 -6.000000
95 -5.000000
96 -4.000000
97 -3.000000
98 -2.000000
99 -1.000000
100 0.000000
