# r_nm potential_V
0.000000000000000000e+00 1.980325976904923624e-01
2.512562814070351980e+00 1.970703940538453547e-01
5.025125628140703959e+00 1.962465431304791785e-01
7.537688442211056383e+00 1.954383429122246441e-01
1.005025125628140792e+01 1.941460176283942851e-01
1.256281407035175945e+01 1.927475018578077015e-01
1.507537688442211277e+01 1.912945865307209004e-01
1.758793969849246253e+01 1.894646275410331593e-01
2.010050251256281584e+01 1.877624992707477569e-01
2.261306532663316915e+01 1.858807063084590705e-01
2.512562814070351891e+01 1.841589421062802823e-01
2.763819095477387222e+01 1.824296833778547566e-01
3.015075376884422553e+01 1.808199188957507753e-01
3.266331658291457529e+01 1.791776904526141967e-01
3.517587939698492505e+01 1.777252934451131472e-01
3.768844221105528192e+01 1.763064340488690318e-01
4.020100502512563168e+01 1.749739476537501837e-01
4.271356783919598143e+01 1.738265508575533858e-01
4.522613065326633830e+01 1.726227596547995069e-01
4.773869346733668806e+01 1.717123173811777592e-01
5.025125628140703782e+01 1.707859654081407552e-01
5.276381909547739468e+01 1.699519513291931905e-01
5.527638190954774444e+01 1.691629361620196614e-01
5.778894472361809420e+01 1.684360341365606084e-01
6.030150753768845107e+01 1.678646319209959048e-01
6.281407035175880083e+01 1.672454681268924215e-01
6.532663316582915058e+01 1.667354793970022564e-01
6.783919597989950034e+01 1.661990853201080753e-01
7.035175879396985010e+01 1.657295820056193525e-01
7.286432160804021407e+01 1.652748772701256585e-01
7.537688442211056383e+01 1.649453250286985750e-01
7.788944723618091359e+01 1.645518453931912595e-01
8.040201005025126335e+01 1.642552995211890021e-01
8.291457286432161311e+01 1.640225066718085656e-01
8.542713567839196287e+01 1.636811673185349092e-01
8.793969849246231263e+01 1.634383259538252642e-01
9.045226130653267660e+01 1.632019660143979589e-01
9.296482412060302636e+01 1.629790702761858834e-01
9.547738693467337612e+01 1.627186698340706006e-01
9.798994974874372588e+01 1.625763773192591410e-01
1.005025125628140756e+02 1.624048942690687891e-01
1.030150753768844254e+02 1.621377965377550079e-01
1.055276381909547894e+02 1.619534722247499559e-01
1.080402010050251391e+02 1.619216171352816647e-01
1.105527638190954889e+02 1.617481779297899880e-01
1.130653266331658386e+02 1.616020920216741097e-01
1.155778894472361884e+02 1.613921053473552081e-01
1.180904522613065382e+02 1.613502368382181140e-01
1.206030150753769021e+02 1.612270584795736095e-01
1.231155778894472519e+02 1.611061452602682575e-01
1.256281407035176017e+02 1.610039135874397065e-01
1.281407035175879514e+02 1.609328925989740311e-01
1.306532663316583012e+02 1.608359798504116756e-01
1.331658291457286509e+02 1.607002933722059268e-01
1.356783919597990007e+02 1.606334220843141647e-01
1.381909547738693504e+02 1.605475381522222245e-01
1.407035175879397002e+02 1.604693935040542030e-01
1.432160804020100500e+02 1.603290745858060307e-01
1.457286432160804281e+02 1.603176891837040374e-01
1.482412060301507779e+02 1.602344212386710709e-01
1.507537688442211277e+02 1.601857520683961922e-01
1.532663316582914774e+02 1.601259347540985034e-01
1.557788944723618272e+02 1.600655697993366156e-01
1.582914572864321769e+02 1.599646390987544131e-01
1.608040201005025267e+02 1.598761518561506167e-01
1.633165829145728765e+02 1.599050801637819930e-01
1.658291457286432262e+02 1.598411015322294126e-01
1.683417085427135760e+02 1.597921307824720916e-01
1.708542713567839257e+02 1.597411335795939080e-01
1.733668341708542755e+02 1.596876601895003411e-01
1.758793969849246253e+02 1.596546150757752469e-01
1.783919597989950034e+02 1.595934707947588294e-01
1.809045226130653532e+02 1.595573067685428503e-01
1.834170854271357030e+02 1.595024628080796425e-01
1.859296482412060527e+02 1.594404428875479673e-01
1.884422110552764025e+02 1.594466935038867661e-01
1.909547738693467522e+02 1.593959954949347724e-01
1.934673366834171020e+02 1.593545029234268440e-01
1.959798994974874518e+02 1.592918860301402451e-01
1.984924623115578015e+02 1.593144305076191758e-01
2.010050251256281513e+02 1.592629667104437097e-01
2.035175879396985010e+02 1.592466731632069810e-01
2.060301507537688508e+02 1.591817813394934000e-01
2.085427135678392006e+02 1.591500359457436731e-01
2.110552763819095787e+02 1.591260216594148902e-01
2.135678391959799285e+02 1.590944022578441031e-01
2.160804020100502782e+02 1.590570052936930157e-01
2.185929648241206280e+02 1.590463196782943289e-01
2.211055276381909778e+02 1.590097340352857602e-01
2.236180904522613275e+02 1.590374732646716305e-01
