# z_nm potential_V
-2.000000000000000000e+02 0.000000000000000000e+00
-1.979899497487437259e+02 3.928747145004349929e-05
-1.959798994974874518e+02 7.857494290008699858e-05
-1.939698492462311492e+02 1.181602332707796664e-04
-1.919597989949748751e+02 1.582258925125423982e-04
-1.899497487437186010e+02 1.982915517543051571e-04
-1.879396984924622984e+02 2.395790681471606214e-04
-1.859296482412060243e+02 2.813565753380086474e-04
-1.839195979899497502e+02 3.232484595510861963e-04
-1.819095477386934760e+02 3.677097159704092880e-04
-1.798994974874372019e+02 4.121709723897324339e-04
-1.778894472361808994e+02 4.578110690915408905e-04
-1.758793969849246253e+02 5.050698136710033218e-04
-1.738693467336683511e+02 5.523285582504658614e-04
-1.718592964824120486e+02 6.033137846424561131e-04
-1.698492462311557745e+02 6.550078125376335159e-04
-1.678391959798995003e+02 7.080944503695175453e-04
-1.658291457286432262e+02 7.650570655766845756e-04
-1.638190954773869521e+02 8.220196807838516060e-04
-1.618090452261306496e+02 8.835731249264101644e-04
-1.597989949748743754e+02 9.470784458954633082e-04
-1.577889447236181013e+02 1.010583766864516344e-03
-1.557788944723617988e+02 1.081496480040544141e-03
-1.537688442211055246e+02 1.152616674965690298e-03
-1.517587939698492505e+02 1.227133347964215861e-03
-1.497487437185929764e+02 1.307212057216477303e-03
-1.477386934673367023e+02 1.387290766468738962e-03
-1.457286432160803997e+02 1.475445206854862591e-03
-1.437185929648241256e+02 1.567287234798220037e-03
-1.417085427135678515e+02 1.659799313984306867e-03
-1.396984924623115489e+02 1.765661461518621463e-03
-1.376884422110552748e+02 1.871523609052934108e-03
-1.356783919597990007e+02 1.982100629657700640e-03
-1.336683417085427266e+02 2.099741623553887798e-03
-1.316582914572864524e+02 2.217382617450076258e-03
-1.296482412060301499e+02 2.350642956315558436e-03
-1.276381909547738758e+02 2.487353304999629158e-03
-1.256281407035176017e+02 2.629012630190490953e-03
-1.236180904522613133e+02 2.785554225431930483e-03
-1.216080402010050250e+02 2.942095820673369579e-03
-1.195979899497487509e+02 3.115670183409337702e-03
-1.175879396984924767e+02 3.296691147686682793e-03
-1.155778894472361884e+02 3.477712111964030052e-03
-1.135678391959799001e+02 3.686114035486713712e-03
-1.115577889447236259e+02 3.895892861249321184e-03
-1.095477386934673518e+02 4.118600727199722353e-03
-1.075376884422110635e+02 4.362425488643325092e-03
-1.055276381909547752e+02 4.606250250086927830e-03
-1.035175879396985010e+02 4.878922931201533364e-03
-1.015075376884422269e+02 5.166101373351401210e-03
-9.949748743718593857e+01 5.455278962365215333e-03
-9.748743718592965024e+01 5.780640007331934623e-03
-9.547738693467337612e+01 6.106001052298651310e-03
-9.346733668341710199e+01 6.453262055704790147e-03
-9.145728643216081366e+01 6.836380149705813258e-03
-8.944723618090452533e+01 7.219498243706838105e-03
-8.743718592964825120e+01 7.649065586241654210e-03
-8.542713567839197708e+01 8.096739221221149405e-03
-8.341708542713568875e+01 8.552105201586061162e-03
-8.140703517587940041e+01 9.082546714894655995e-03
-7.939698492462312629e+01 9.612988228203245625e-03
-7.738693467336685217e+01 1.017974322215350023e-02
-7.537688442211056383e+01 1.078114600600999125e-02
-7.336683417085427550e+01 1.138254878986648226e-02
-7.135678391959800138e+01 1.208971107737976704e-02
-6.934673366834172725e+01 1.280397014005592131e-02
-6.733668341708545313e+01 1.356912338948989410e-02
-6.532663316582915058e+01 1.441839496433634273e-02
-6.331658291457287646e+01 1.526766653918277747e-02
-6.130653266331660234e+01 1.622477924016530598e-02
-5.929648241206029979e+01 1.724142814934667700e-02
-5.728643216080402567e+01 1.826936521230945742e-02
-5.527638190954775155e+01 1.948878709983669494e-02
-5.326633165829147742e+01 2.070820898736393592e-02
-5.125628140703520330e+01 2.202823556911522734e-02
-4.924623115577890076e+01 2.353352563624093105e-02
-4.723618090452262663e+01 2.503881570336661741e-02
-4.522613065326635251e+01 2.672403165895505597e-02
-4.321608040201004997e+01 2.847999627040609383e-02
-4.120603015075377584e+01 3.026674214179182407e-02
-3.919597989949750172e+01 3.249127705150471612e-02
-3.718592964824122760e+01 3.471581196121759777e-02
-3.517587939698495347e+01 3.721759280769811745e-02
-3.316582914572865093e+01 4.001437090261154850e-02
-3.115577889447237681e+01 4.281114899752494485e-02
-2.914572864321610268e+01 4.633593844993177252e-02
-2.713567839195980014e+01 4.992654978137434779e-02
-2.512562814070352601e+01 5.396661370694831594e-02
-2.311557788944725189e+01 5.864806807313349690e-02
-2.110552763819097777e+01 6.370961649420310569e-02
-1.909547738693470365e+01 6.978638148785847040e-02
-1.708542713567840110e+01 7.677423275961431370e-02
-1.507537688442212698e+01 8.479141663883384139e-02
-1.306532663316585285e+01 9.469055902429071581e-02
-1.105527638190955031e+01 1.072134097486427268e-01
-9.045226130653276186e+00 1.246358210002312811e-01
-7.035175879397002063e+00 1.500136759265949804e-01
-5.025125628140727940e+00 1.972458101548118792e-01
-3.015075376884453817e+00 2.831377305286276180e-01
-1.005025125628151272e+00 3.718570007632480690e-01
1.005025125628122851e+00 5.976184739474139640e-01
3.015075376884396974e+00 9.650318790773975142e-01
5.025125628140699519e+00 1.349168993282511275e+00
7.035175879396973642e+00 1.767941050527585656e+00
